,female[0-9],male[0-9],female[10-19],male[10-19],female[20-29],male[20-29],female[30-39],male[30-39],female[40-49],male[40-49],female[50-59],male[50-59],female[60-102],male[60-102],population,"1-25,000","25,000-50,000","50,000-75,000","75,000-100,000","100,000-200,000","200,000-...",stadium_count,shoes_count,restaurant_count,gym_count,clothes_count,clinic_count
10012,0.027853881278538814,0.028435035284350353,0.021046077210460774,0.021419676214196763,0.16658364466583644,0.12561228725612286,0.09236197592361976,0.11295143212951432,0.05421336654213366,0.06724782067247821,0.055251141552511415,0.05413034454130344,0.09119966791199668,0.08169364881693648,24090.0,0.19362363919129083,0.14307931570762053,0.13530326594090203,0.1104199066874028,0.21695178849144633,0.2006220839813375,0.0,13.0,121.0,1.0,81.0,0.0
10013,0.048628158844765346,0.05010830324909747,0.032815884476534295,0.032707581227436826,0.10194945848375452,0.09418772563176896,0.08570397111913357,0.09685920577617328,0.06660649819494585,0.081985559566787,0.06259927797833935,0.06552346570397112,0.09805054151624548,0.08227436823104693,27700.0,0.30019880715705766,0.13717693836978131,0.10404241219350563,0.07554671968190854,0.13518886679920478,0.24784625579854208,0.0,7.0,109.0,0.0,23.0,1.0
10014,0.02875559310366407,0.02828624174723865,0.017804061453737603,0.016333427203604617,0.13486028974623737,0.09358866047122877,0.11614881567007729,0.11749428955849682,0.06414468537814075,0.08451453424700398,0.05747989611689978,0.06527112863356176,0.09171125504552709,0.08360712162458149,31959.0,0.15070643642072212,0.11773940345368916,0.12872841444270017,0.11041339612768185,0.24175824175824176,0.25065410779696495,0.0,1.0,90.0,1.0,8.0,1.0
10004,0.04370346390417611,0.05438653285853027,0.02136613790870832,0.015215280025898349,0.14567821301392037,0.140822272580123,0.13467141469731306,0.14891550663645192,0.06701197798640336,0.07866623502751699,0.03917125283263192,0.04694075752670767,0.027193266429265135,0.036257688572353515,3089.0,0.13654618473895583,0.10441767068273092,0.11646586345381527,0.08032128514056225,0.20883534136546184,0.3534136546184739,0.0,1.0,40.0,0.0,2.0,0.0
10005,0.0248072880168185,0.022144358794674142,0.010651716888577436,0.007428170988086896,0.27890679747722497,0.20939032936229854,0.13230553608969867,0.15543097407147863,0.04176594253679047,0.05634197617379117,0.0189208128941836,0.022704975473020323,0.010091100210231255,0.009110021023125438,7135.0,0.12175324675324675,0.12175324675324675,0.14772727272727273,0.10714285714285714,0.22077922077922077,0.28084415584415584,0.0,0.0,27.0,1.0,1.0,0.0
10006,0.01893058784456991,0.01760212553968781,0.010295582862836267,0.01262039189637994,0.2630355363666556,0.21454666223845897,0.13583527067419462,0.16572567253404186,0.036532713384257724,0.053802723347725005,0.021587512454334108,0.026901361673862503,0.009299236134174693,0.01328462304882099,3011.0,0.12345679012345678,0.13168724279835392,0.14814814814814814,0.10699588477366255,0.2674897119341564,0.2222222222222222,0.0,1.0,16.0,0.0,0.0,0.0
10007,0.06997710360618202,0.06940469376073269,0.01974813966800229,0.019318832283915285,0.08113909559244419,0.09544934172867774,0.14038351459645107,0.18760732684602174,0.0653978248425873,0.11376645678305666,0.034487693188322836,0.050658271322266746,0.022467086433886663,0.030194619347452777,6988.0,0.13213213213213212,0.08408408408408409,0.06906906906906907,0.06606606606606606,0.17117117117117117,0.4774774774774775,0.0,1.0,15.0,0.0,1.0,1.0
10038,0.03064039408866995,0.034482758620689655,0.055812807881773396,0.04182266009852217,0.15679802955665026,0.13408866995073893,0.07798029556650246,0.08561576354679803,0.05019704433497537,0.05330049261083744,0.05019704433497537,0.041379310344827586,0.11482758620689655,0.07285714285714286,20300.0,0.2858312858312858,0.1597051597051597,0.13595413595413594,0.09172809172809172,0.180999180999181,0.1457821457821458,0.0,1.0,61.0,1.0,11.0,1.0
10280,0.06010441869349293,0.05883101999235961,0.030052209346746465,0.024831274672099835,0.0862090920667261,0.06876352986119955,0.12835858907423914,0.12912262829491913,0.08824652998853941,0.08608175219661277,0.06417929453711957,0.05972239908315294,0.06074111804405959,0.05475614414873297,7853.0,0.11954022988505747,0.09195402298850575,0.09885057471264368,0.10344827586206896,0.27816091954022987,0.3080459770114943,0.0,0.0,9.0,0.0,0.0,0.0
10002,0.0436555705687262,0.045805183638373666,0.0459525856774352,0.049342832575850634,0.08794988330671907,0.08164844613683822,0.07442574622282275,0.07554354501903943,0.0676943864390124,0.06558162387913033,0.0709372312983663,0.06285468615649183,0.13560987593661714,0.09299840314457683,81410.0,0.5181755035887937,0.1912479740680713,0.1085899513776337,0.06228293586478351,0.0817318823801806,0.03797175272053716,0.0,1.0,91.0,1.0,10.0,1.0
