"ZIP
code [1]",Size of adjusted gross income,Number of returns
12491,"$200,000 or more",30
,,
12492,,120
12492,"$1 under $25,000",40
12492,"$25,000 under $50,000",40
12492,"$50,000 under $75,000",**
12492,"$75,000 under $100,000",40
12492,"$100,000 under $200,000",**
12492,"$200,000 or more",**
,,
12494,,340
12494,"$1 under $25,000",110
12494,"$25,000 under $50,000",90
12494,"$50,000 under $75,000",60
12494,"$75,000 under $100,000",30
12494,"$100,000 under $200,000",50
12494,"$200,000 or more",**
,,
12495,,140
12495,"$1 under $25,000",40
12495,"$25,000 under $50,000",40
12495,"$50,000 under $75,000",**
12495,"$75,000 under $100,000",20
12495,"$100,000 under $200,000",40
12495,"$200,000 or more",**
,,
12496,,690
12496,"$1 under $25,000",290
12496,"$25,000 under $50,000",150
12496,"$50,000 under $75,000",90
12496,"$75,000 under $100,000",60
12496,"$100,000 under $200,000",80
12496,"$200,000 or more",20
,,
12498,,"2,340"
12498,"$1 under $25,000",800
12498,"$25,000 under $50,000",390
12498,"$50,000 under $75,000",320
12498,"$75,000 under $100,000",230
12498,"$100,000 under $200,000",410
12498,"$200,000 or more",190
,,
12501,,"1,050"
12501,"$1 under $25,000",360
12501,"$25,000 under $50,000",260
12501,"$50,000 under $75,000",160
12501,"$75,000 under $100,000",100
12501,"$100,000 under $200,000",140
12501,"$200,000 or more",30
,,
12502,,460
12502,"$1 under $25,000",130
12502,"$25,000 under $50,000",110
12502,"$50,000 under $75,000",90
12502,"$75,000 under $100,000",50
12502,"$100,000 under $200,000",60
12502,"$200,000 or more",20
,,
12503,,280
12503,"$1 under $25,000",100
12503,"$25,000 under $50,000",60
12503,"$50,000 under $75,000",30
12503,"$75,000 under $100,000",30
12503,"$100,000 under $200,000",60
12503,"$200,000 or more",**
,,
12508,,"8,680"
12508,"$1 under $25,000",2830
12508,"$25,000 under $50,000",2040
12508,"$50,000 under $75,000",1350
12508,"$75,000 under $100,000",930
12508,"$100,000 under $200,000",1310
12508,"$200,000 or more",220
,,
12513,,610
12513,"$1 under $25,000",160
12513,"$25,000 under $50,000",130
12513,"$50,000 under $75,000",110
12513,"$75,000 under $100,000",70
12513,"$100,000 under $200,000",110
12513,"$200,000 or more",30
,,
12514,,"1,350"
12514,"$1 under $25,000",370
12514,"$25,000 under $50,000",210
12514,"$50,000 under $75,000",190
12514,"$75,000 under $100,000",160
12514,"$100,000 under $200,000",320
12514,"$200,000 or more",100
,,
12515,,810
12515,"$1 under $25,000",310
12515,"$25,000 under $50,000",180
12515,"$50,000 under $75,000",110
12515,"$75,000 under $100,000",90
12515,"$100,000 under $200,000",100
12515,"$200,000 or more",20
,,
12516,,730
12516,"$1 under $25,000",250
12516,"$25,000 under $50,000",180
12516,"$50,000 under $75,000",110
12516,"$75,000 under $100,000",80
12516,"$100,000 under $200,000",90
12516,"$200,000 or more",20
,,
12517,,210
12517,"$1 under $25,000",80
12517,"$25,000 under $50,000",50
12517,"$50,000 under $75,000",40
12517,"$75,000 under $100,000",**
12517,"$100,000 under $200,000",40
12517,"$200,000 or more",**
,,
12518,,"3,000"
12518,"$1 under $25,000",920
12518,"$25,000 under $50,000",530
12518,"$50,000 under $75,000",400
12518,"$75,000 under $100,000",320
12518,"$100,000 under $200,000",590
12518,"$200,000 or more",240
,,
12520,,"1,690"
12520,"$1 under $25,000",430
12520,"$25,000 under $50,000",290
12520,"$50,000 under $75,000",230
12520,"$75,000 under $100,000",180
12520,"$100,000 under $200,000",420
12520,"$200,000 or more",140
,,
12521,,760
12521,"$1 under $25,000",250
12521,"$25,000 under $50,000",180
12521,"$50,000 under $75,000",130
12521,"$75,000 under $100,000",60
12521,"$100,000 under $200,000",110
12521,"$200,000 or more",30
,,
12522,,"2,230"
12522,"$1 under $25,000",760
12522,"$25,000 under $50,000",570
12522,"$50,000 under $75,000",340
12522,"$75,000 under $100,000",230
12522,"$100,000 under $200,000",280
12522,"$200,000 or more",50
,,
12523,,880
12523,"$1 under $25,000",300
12523,"$25,000 under $50,000",220
12523,"$50,000 under $75,000",150
12523,"$75,000 under $100,000",100
12523,"$100,000 under $200,000",110
12523,"$200,000 or more",**
,,
12524,,"7,930"
12524,"$1 under $25,000",2140
12524,"$25,000 under $50,000",1480
12524,"$50,000 under $75,000",1230
12524,"$75,000 under $100,000",950
12524,"$100,000 under $200,000",1700
12524,"$200,000 or more",430
,,
12525,,"1,810"
12525,"$1 under $25,000",540
12525,"$25,000 under $50,000",370
12525,"$50,000 under $75,000",300
12525,"$75,000 under $100,000",210
12525,"$100,000 under $200,000",300
12525,"$200,000 or more",90
,,
12526,,"1,830"
12526,"$1 under $25,000",620
12526,"$25,000 under $50,000",420
12526,"$50,000 under $75,000",270
12526,"$75,000 under $100,000",190
12526,"$100,000 under $200,000",250
12526,"$200,000 or more",80
,,
12528,,"6,690"
12528,"$1 under $25,000",2110
12528,"$25,000 under $50,000",1420
12528,"$50,000 under $75,000",1000
12528,"$75,000 under $100,000",780
12528,"$100,000 under $200,000",1160
12528,"$200,000 or more",220
,,
12529,,"1,150"
12529,"$1 under $25,000",420
12529,"$25,000 under $50,000",270
12529,"$50,000 under $75,000",150
12529,"$75,000 under $100,000",100
12529,"$100,000 under $200,000",150
12529,"$200,000 or more",60
,,
12531,,"1,570"
12531,"$1 under $25,000",430
12531,"$25,000 under $50,000",290
12531,"$50,000 under $75,000",200
12531,"$75,000 under $100,000",180
12531,"$100,000 under $200,000",350
12531,"$200,000 or more",120
,,
12533,,"12,530"
12533,"$1 under $25,000",3450
12533,"$25,000 under $50,000",1970
12533,"$50,000 under $75,000",1490
12533,"$75,000 under $100,000",1370
12533,"$100,000 under $200,000",3010
12533,"$200,000 or more",1240
,,
12534,,"7,730"
12534,"$1 under $25,000",3150
12534,"$25,000 under $50,000",2080
12534,"$50,000 under $75,000",1050
12534,"$75,000 under $100,000",620
12534,"$100,000 under $200,000",670
12534,"$200,000 or more",160
,,
12538,,"6,600"
12538,"$1 under $25,000",2130
12538,"$25,000 under $50,000",1470
12538,"$50,000 under $75,000",950
12538,"$75,000 under $100,000",770
12538,"$100,000 under $200,000",1120
12538,"$200,000 or more",160
,,
12540,,"3,730"
12540,"$1 under $25,000",1090
12540,"$25,000 under $50,000",540
12540,"$50,000 under $75,000",430
12540,"$75,000 under $100,000",370
12540,"$100,000 under $200,000",910
12540,"$200,000 or more",390
,,
12542,,"2,970"
12542,"$1 under $25,000",900
12542,"$25,000 under $50,000",670
12542,"$50,000 under $75,000",420
12542,"$75,000 under $100,000",330
12542,"$100,000 under $200,000",530
12542,"$200,000 or more",120
,,
12543,,"1,520"
12543,"$1 under $25,000",470
12543,"$25,000 under $50,000",410
12543,"$50,000 under $75,000",270
12543,"$75,000 under $100,000",170
12543,"$100,000 under $200,000",200
12543,"$200,000 or more",**
,,
12545,,"2,190"
12545,"$1 under $25,000",660
12545,"$25,000 under $50,000",450
12545,"$50,000 under $75,000",290
12545,"$75,000 under $100,000",230
12545,"$100,000 under $200,000",370
12545,"$200,000 or more",190
,,
12546,,"1,390"
12546,"$1 under $25,000",520
12546,"$25,000 under $50,000",350
12546,"$50,000 under $75,000",200
12546,"$75,000 under $100,000",120
12546,"$100,000 under $200,000",150
12546,"$200,000 or more",50
,,
12547,,"1,480"
12547,"$1 under $25,000",460
12547,"$25,000 under $50,000",300
12547,"$50,000 under $75,000",240
12547,"$75,000 under $100,000",160
12547,"$100,000 under $200,000",250
12547,"$200,000 or more",70
,,
12548,,800
12548,"$1 under $25,000",260
12548,"$25,000 under $50,000",160
12548,"$50,000 under $75,000",130
12548,"$75,000 under $100,000",90
12548,"$100,000 under $200,000",160
12548,"$200,000 or more",**
,,
12549,,"5,040"
12549,"$1 under $25,000",1530
12549,"$25,000 under $50,000",920
12549,"$50,000 under $75,000",690
12549,"$75,000 under $100,000",550
12549,"$100,000 under $200,000",1090
12549,"$200,000 or more",260
,,
12550,,"25,430"
12550,"$1 under $25,000",10640
12550,"$25,000 under $50,000",5960
12550,"$50,000 under $75,000",2990
12550,"$75,000 under $100,000",2100
12550,"$100,000 under $200,000",3070
12550,"$200,000 or more",670
,,
12553,,"12,780"
12553,"$1 under $25,000",4040
12553,"$25,000 under $50,000",2890
12553,"$50,000 under $75,000",1900
12553,"$75,000 under $100,000",1260
12553,"$100,000 under $200,000",2260
12553,"$200,000 or more",430
,,
12561,,"7,290"
12561,"$1 under $25,000",2480
12561,"$25,000 under $50,000",1410
12561,"$50,000 under $75,000",950
12561,"$75,000 under $100,000",750
12561,"$100,000 under $200,000",1300
12561,"$200,000 or more",400
,,
12563,,"3,540"
12563,"$1 under $25,000",1170
12563,"$25,000 under $50,000",600
12563,"$50,000 under $75,000",480
12563,"$75,000 under $100,000",350
12563,"$100,000 under $200,000",700
12563,"$200,000 or more",240
,,
12564,,"3,430"
12564,"$1 under $25,000",970
12564,"$25,000 under $50,000",670
12564,"$50,000 under $75,000",450
12564,"$75,000 under $100,000",350
12564,"$100,000 under $200,000",740
12564,"$200,000 or more",250
,,
12565,,780
12565,"$1 under $25,000",330
12565,"$25,000 under $50,000",220
12565,"$50,000 under $75,000",110
12565,"$75,000 under $100,000",60
12565,"$100,000 under $200,000",60
12565,"$200,000 or more",**
,,
12566,,"5,050"
12566,"$1 under $25,000",1610
12566,"$25,000 under $50,000",1060
12566,"$50,000 under $75,000",720
12566,"$75,000 under $100,000",630
12566,"$100,000 under $200,000",900
12566,"$200,000 or more",130
,,
12567,,"1,300"
12567,"$1 under $25,000",410
12567,"$25,000 under $50,000",330
12567,"$50,000 under $75,000",210
12567,"$75,000 under $100,000",130
12567,"$100,000 under $200,000",160
12567,"$200,000 or more",60
,,
12569,,"5,160"
12569,"$1 under $25,000",1570
12569,"$25,000 under $50,000",1050
12569,"$50,000 under $75,000",700
12569,"$75,000 under $100,000",560
12569,"$100,000 under $200,000",1000
12569,"$200,000 or more",280
,,
12570,,"3,450"
12570,"$1 under $25,000",920
12570,"$25,000 under $50,000",560
12570,"$50,000 under $75,000",400
12570,"$75,000 under $100,000",370
12570,"$100,000 under $200,000",940
12570,"$200,000 or more",260
,,
12571,,"4,590"
12571,"$1 under $25,000",1440
12571,"$25,000 under $50,000",910
12571,"$50,000 under $75,000",640
12571,"$75,000 under $100,000",480
12571,"$100,000 under $200,000",860
12571,"$200,000 or more",260
,,
12572,,"4,430"
12572,"$1 under $25,000",1240
12572,"$25,000 under $50,000",850
12572,"$50,000 under $75,000",630
12572,"$75,000 under $100,000",480
12572,"$100,000 under $200,000",840
12572,"$200,000 or more",390
,,
12575,,"1,140"
12575,"$1 under $25,000",320
12575,"$25,000 under $50,000",180
12575,"$50,000 under $75,000",130
12575,"$75,000 under $100,000",130
12575,"$100,000 under $200,000",290
12575,"$200,000 or more",90
,,
12577,,"1,050"
12577,"$1 under $25,000",310
12577,"$25,000 under $50,000",180
12577,"$50,000 under $75,000",120
12577,"$75,000 under $100,000",130
12577,"$100,000 under $200,000",240
12577,"$200,000 or more",70
,,
12578,,"1,120"
12578,"$1 under $25,000",320
12578,"$25,000 under $50,000",210
12578,"$50,000 under $75,000",160
12578,"$75,000 under $100,000",120
12578,"$100,000 under $200,000",240
12578,"$200,000 or more",70
,,
12580,,"1,850"
12580,"$1 under $25,000",570
12580,"$25,000 under $50,000",330
12580,"$50,000 under $75,000",240
12580,"$75,000 under $100,000",240
12580,"$100,000 under $200,000",350
12580,"$200,000 or more",120
,,
12581,,"1,000"
12581,"$1 under $25,000",290
12581,"$25,000 under $50,000",220
12581,"$50,000 under $75,000",160
12581,"$75,000 under $100,000",110
12581,"$100,000 under $200,000",160
12581,"$200,000 or more",60
,,
12582,,"2,290"
12582,"$1 under $25,000",600
12582,"$25,000 under $50,000",370
12582,"$50,000 under $75,000",280
12582,"$75,000 under $100,000",280
12582,"$100,000 under $200,000",580
12582,"$200,000 or more",180
,,
12583,,"1,110"
12583,"$1 under $25,000",400
12583,"$25,000 under $50,000",260
12583,"$50,000 under $75,000",140
12583,"$75,000 under $100,000",120
12583,"$100,000 under $200,000",150
12583,"$200,000 or more",40
,,
12585,,440
12585,"$1 under $25,000",130
12585,"$25,000 under $50,000",80
12585,"$50,000 under $75,000",50
12585,"$75,000 under $100,000",50
12585,"$100,000 under $200,000",100
12585,"$200,000 or more",30
,,
12586,,"6,180"
12586,"$1 under $25,000",2080
12586,"$25,000 under $50,000",1380
12586,"$50,000 under $75,000",880
12586,"$75,000 under $100,000",620
12586,"$100,000 under $200,000",1070
12586,"$200,000 or more",150
,,
12589,,"6,590"
12589,"$1 under $25,000",2280
12589,"$25,000 under $50,000",1280
12589,"$50,000 under $75,000",960
12589,"$75,000 under $100,000",680
12589,"$100,000 under $200,000",1180
12589,"$200,000 or more",210
,,
12590,,"18,240"
12590,"$1 under $25,000",5460
12590,"$25,000 under $50,000",3620
12590,"$50,000 under $75,000",2710
12590,"$75,000 under $100,000",2120
12590,"$100,000 under $200,000",3560
12590,"$200,000 or more",770
,,
12592,,580
12592,"$1 under $25,000",170
12592,"$25,000 under $50,000",170
12592,"$50,000 under $75,000",90
12592,"$75,000 under $100,000",70
12592,"$100,000 under $200,000",80
12592,"$200,000 or more",**
,,
12594,,"1,950"
12594,"$1 under $25,000",660
12594,"$25,000 under $50,000",420
12594,"$50,000 under $75,000",300
12594,"$75,000 under $100,000",210
12594,"$100,000 under $200,000",310
12594,"$200,000 or more",50
,,
12601,,"17,840"
12601,"$1 under $25,000",7710
12601,"$25,000 under $50,000",4510
12601,"$50,000 under $75,000",2240
12601,"$75,000 under $100,000",1290
12601,"$100,000 under $200,000",1760
12601,"$200,000 or more",330
,,
12603,,"21,150"
12603,"$1 under $25,000",6340
12603,"$25,000 under $50,000",4250
12603,"$50,000 under $75,000",3030
12603,"$75,000 under $100,000",2300
12603,"$100,000 under $200,000",4210
12603,"$200,000 or more",1020
,,
12701,,"4,580"
12701,"$1 under $25,000",2230
12701,"$25,000 under $50,000",1210
12701,"$50,000 under $75,000",510
12701,"$75,000 under $100,000",280
12701,"$100,000 under $200,000",280
12701,"$200,000 or more",70
,,
12719,,430
12719,"$1 under $25,000",150
12719,"$25,000 under $50,000",90
12719,"$50,000 under $75,000",70
12719,"$75,000 under $100,000",50
12719,"$100,000 under $200,000",70
12719,"$200,000 or more",**
,,
12720,,110
12720,"$1 under $25,000",60
12720,"$25,000 under $50,000",**
12720,"$50,000 under $75,000",30
12720,"$75,000 under $100,000",**
12720,"$100,000 under $200,000",20
12720,"$200,000 or more",**
,,
12721,,"2,950"
12721,"$1 under $25,000",970
12721,"$25,000 under $50,000",660
12721,"$50,000 under $75,000",440
12721,"$75,000 under $100,000",320
12721,"$100,000 under $200,000",490
12721,"$200,000 or more",70
,,
12723,,700
12723,"$1 under $25,000",260
12723,"$25,000 under $50,000",180
12723,"$50,000 under $75,000",90
12723,"$75,000 under $100,000",60
12723,"$100,000 under $200,000",90
12723,"$200,000 or more",20
,,
12725,,150
12725,"$1 under $25,000",50
12725,"$25,000 under $50,000",40
12725,"$50,000 under $75,000",30
12725,"$75,000 under $100,000",**
12725,"$100,000 under $200,000",30
12725,"$200,000 or more",**
,,
12726,,480
12726,"$1 under $25,000",170
12726,"$25,000 under $50,000",100
12726,"$50,000 under $75,000",70
12726,"$75,000 under $100,000",60
12726,"$100,000 under $200,000",80
12726,"$200,000 or more",**
,,
12729,,830
12729,"$1 under $25,000",320
12729,"$25,000 under $50,000",220
12729,"$50,000 under $75,000",130
12729,"$75,000 under $100,000",70
12729,"$100,000 under $200,000",90
12729,"$200,000 or more",**
,,
12732,,370
12732,"$1 under $25,000",140
12732,"$25,000 under $50,000",70
12732,"$50,000 under $75,000",50
12732,"$75,000 under $100,000",40
12732,"$100,000 under $200,000",70
12732,"$200,000 or more",**
,,
12733,,240
12733,"$1 under $25,000",120
12733,"$25,000 under $50,000",70
12733,"$50,000 under $75,000",30
12733,"$75,000 under $100,000",20
12733,"$100,000 under $200,000",**
12733,"$200,000 or more",**
,,
12734,,550
12734,"$1 under $25,000",200
12734,"$25,000 under $50,000",180
12734,"$50,000 under $75,000",80
12734,"$75,000 under $100,000",40
12734,"$100,000 under $200,000",50
12734,"$200,000 or more",**
,,
12737,,830
12737,"$1 under $25,000",300
12737,"$25,000 under $50,000",170
12737,"$50,000 under $75,000",110
12737,"$75,000 under $100,000",110
12737,"$100,000 under $200,000",120
12737,"$200,000 or more",20
,,
12738,,110
12738,"$1 under $25,000",40
12738,"$25,000 under $50,000",40
12738,"$50,000 under $75,000",**
12738,"$75,000 under $100,000",30
12738,"$100,000 under $200,000",**
12738,"$200,000 or more",**
,,
12740,,910
12740,"$1 under $25,000",310
12740,"$25,000 under $50,000",190
12740,"$50,000 under $75,000",150
12740,"$75,000 under $100,000",120
12740,"$100,000 under $200,000",120
12740,"$200,000 or more",20
,,
12741,,140
12741,"$1 under $25,000",60
12741,"$25,000 under $50,000",30
12741,"$50,000 under $75,000",20
12741,"$75,000 under $100,000",30
12741,"$100,000 under $200,000",**
12741,"$200,000 or more",0
,,
12742,,150
12742,"$1 under $25,000",60
12742,"$25,000 under $50,000",50
12742,"$50,000 under $75,000",20
12742,"$75,000 under $100,000",20
12742,"$100,000 under $200,000",**
12742,"$200,000 or more",**
,,
12743,,140
12743,"$1 under $25,000",50
12743,"$25,000 under $50,000",40
12743,"$50,000 under $75,000",30
12743,"$75,000 under $100,000",**
12743,"$100,000 under $200,000",20
12743,"$200,000 or more",**
,,
12746,,570
12746,"$1 under $25,000",220
12746,"$25,000 under $50,000",130
12746,"$50,000 under $75,000",100
12746,"$75,000 under $100,000",50
12746,"$100,000 under $200,000",70
12746,"$200,000 or more",**
,,
12747,,790
12747,"$1 under $25,000",330
12747,"$25,000 under $50,000",200
12747,"$50,000 under $75,000",100
12747,"$75,000 under $100,000",70
12747,"$100,000 under $200,000",90
12747,"$200,000 or more",**
,,
12748,,930
12748,"$1 under $25,000",330
12748,"$25,000 under $50,000",220
12748,"$50,000 under $75,000",140
12748,"$75,000 under $100,000",90
12748,"$100,000 under $200,000",150
12748,"$200,000 or more",**
,,
12751,,410
12751,"$1 under $25,000",200
12751,"$25,000 under $50,000",110
12751,"$50,000 under $75,000",50
12751,"$75,000 under $100,000",30
12751,"$100,000 under $200,000",20
12751,"$200,000 or more",**
,,
12752,,130
12752,"$1 under $25,000",40
12752,"$25,000 under $50,000",40
12752,"$50,000 under $75,000",20
12752,"$75,000 under $100,000",30
12752,"$100,000 under $200,000",**
12752,"$200,000 or more",**
,,
12754,,"2,820"
12754,"$1 under $25,000",1250
12754,"$25,000 under $50,000",750
12754,"$50,000 under $75,000",330
12754,"$75,000 under $100,000",190
12754,"$100,000 under $200,000",250
12754,"$200,000 or more",50
,,
12758,,"1,690"
12758,"$1 under $25,000",680
12758,"$25,000 under $50,000",420
12758,"$50,000 under $75,000",220
12758,"$75,000 under $100,000",150
12758,"$100,000 under $200,000",200
12758,"$200,000 or more",20
,,
12759,,700
12759,"$1 under $25,000",380
12759,"$25,000 under $50,000",170
12759,"$50,000 under $75,000",70
12759,"$75,000 under $100,000",40
12759,"$100,000 under $200,000",40
12759,"$200,000 or more",**
,,
12760,,210
12760,"$1 under $25,000",90
12760,"$25,000 under $50,000",50
12760,"$50,000 under $75,000",30
12760,"$75,000 under $100,000",40
12760,"$100,000 under $200,000",**
12760,"$200,000 or more",**
,,
12762,,260
12762,"$1 under $25,000",100
12762,"$25,000 under $50,000",70
12762,"$50,000 under $75,000",30
12762,"$75,000 under $100,000",20
12762,"$100,000 under $200,000",40
12762,"$200,000 or more",**
,,
12763,,340
12763,"$1 under $25,000",120
12763,"$25,000 under $50,000",90
12763,"$50,000 under $75,000",60
12763,"$75,000 under $100,000",30
12763,"$100,000 under $200,000",40
12763,"$200,000 or more",**
,,
12764,,720
12764,"$1 under $25,000",290
12764,"$25,000 under $50,000",160
12764,"$50,000 under $75,000",90
12764,"$75,000 under $100,000",70
12764,"$100,000 under $200,000",110
12764,"$200,000 or more",**
,,
12765,,450
12765,"$1 under $25,000",140
12765,"$25,000 under $50,000",100
12765,"$50,000 under $75,000",70
12765,"$75,000 under $100,000",60
12765,"$100,000 under $200,000",80
12765,"$200,000 or more",**
,,
12766,,160
12766,"$1 under $25,000",90
12766,"$25,000 under $50,000",30
12766,"$50,000 under $75,000",20
12766,"$75,000 under $100,000",20
12766,"$100,000 under $200,000",**
12766,"$200,000 or more",**
,,
12768,,440
12768,"$1 under $25,000",170
12768,"$25,000 under $50,000",110
12768,"$50,000 under $75,000",60
12768,"$75,000 under $100,000",50
12768,"$100,000 under $200,000",50
12768,"$200,000 or more",**
,,
12771,,"6,300"
12771,"$1 under $25,000",2640
12771,"$25,000 under $50,000",1420
12771,"$50,000 under $75,000",820
12771,"$75,000 under $100,000",560
12771,"$100,000 under $200,000",760
12771,"$200,000 or more",100
,,
12775,,"1,260"
12775,"$1 under $25,000",360
12775,"$25,000 under $50,000",250
12775,"$50,000 under $75,000",170
12775,"$75,000 under $100,000",160
12775,"$100,000 under $200,000",240
12775,"$200,000 or more",80
,,
12776,,820
12776,"$1 under $25,000",310
12776,"$25,000 under $50,000",200
12776,"$50,000 under $75,000",130
12776,"$75,000 under $100,000",70
12776,"$100,000 under $200,000",110
12776,"$200,000 or more",**
,,
12777,,330
12777,"$1 under $25,000",90
12777,"$25,000 under $50,000",60
12777,"$50,000 under $75,000",50
12777,"$75,000 under $100,000",50
12777,"$100,000 under $200,000",60
12777,"$200,000 or more",20
,,
12779,,"1,050"
12779,"$1 under $25,000",490
12779,"$25,000 under $50,000",310
12779,"$50,000 under $75,000",110
12779,"$75,000 under $100,000",60
12779,"$100,000 under $200,000",80
12779,"$200,000 or more",**
,,
12780,,"1,130"
12780,"$1 under $25,000",420
12780,"$25,000 under $50,000",230
12780,"$50,000 under $75,000",160
12780,"$75,000 under $100,000",140
12780,"$100,000 under $200,000",180
12780,"$200,000 or more",**
,,
12783,,600
12783,"$1 under $25,000",220
12783,"$25,000 under $50,000",160
12783,"$50,000 under $75,000",90
12783,"$75,000 under $100,000",50
12783,"$100,000 under $200,000",80
12783,"$200,000 or more",**
,,
12786,,320
12786,"$1 under $25,000",110
12786,"$25,000 under $50,000",70
12786,"$50,000 under $75,000",50
12786,"$75,000 under $100,000",30
12786,"$100,000 under $200,000",60
12786,"$200,000 or more",**
,,
12787,,230
12787,"$1 under $25,000",70
12787,"$25,000 under $50,000",60
12787,"$50,000 under $75,000",40
12787,"$75,000 under $100,000",30
12787,"$100,000 under $200,000",30
12787,"$200,000 or more",**
,,
12788,,950
12788,"$1 under $25,000",360
12788,"$25,000 under $50,000",250
12788,"$50,000 under $75,000",130
12788,"$75,000 under $100,000",90
12788,"$100,000 under $200,000",120
12788,"$200,000 or more",**
,,
12789,,750
12789,"$1 under $25,000",310
12789,"$25,000 under $50,000",200
12789,"$50,000 under $75,000",110
12789,"$75,000 under $100,000",40
12789,"$100,000 under $200,000",90
12789,"$200,000 or more",**
,,
12790,,"2,230"
12790,"$1 under $25,000",770
12790,"$25,000 under $50,000",570
12790,"$50,000 under $75,000",360
12790,"$75,000 under $100,000",230
12790,"$100,000 under $200,000",260
12790,"$200,000 or more",40
,,
12791,,310
12791,"$1 under $25,000",110
12791,"$25,000 under $50,000",70
12791,"$50,000 under $75,000",40
12791,"$75,000 under $100,000",40
12791,"$100,000 under $200,000",50
12791,"$200,000 or more",**
,,
12792,,200
12792,"$1 under $25,000",80
12792,"$25,000 under $50,000",40
12792,"$50,000 under $75,000",30
12792,"$75,000 under $100,000",30
12792,"$100,000 under $200,000",20
12792,"$200,000 or more",**
,,
12801,,"7,600"
12801,"$1 under $25,000",3200
12801,"$25,000 under $50,000",2050
12801,"$50,000 under $75,000",1030
12801,"$75,000 under $100,000",610
12801,"$100,000 under $200,000",610
12801,"$200,000 or more",100
,,
12803,,"4,310"
12803,"$1 under $25,000",1640
12803,"$25,000 under $50,000",1140
12803,"$50,000 under $75,000",610
12803,"$75,000 under $100,000",430
12803,"$100,000 under $200,000",460
12803,"$200,000 or more",30
,,
12804,,"13,840"
12804,"$1 under $25,000",4920
12804,"$25,000 under $50,000",2860
12804,"$50,000 under $75,000",1940
12804,"$75,000 under $100,000",1410
12804,"$100,000 under $200,000",2170
12804,"$200,000 or more",540
,,
12808,,170
12808,"$1 under $25,000",50
12808,"$25,000 under $50,000",30
12808,"$50,000 under $75,000",30
12808,"$75,000 under $100,000",30
12808,"$100,000 under $200,000",30
12808,"$200,000 or more",**
,,
12809,,"1,610"
12809,"$1 under $25,000",550
12809,"$25,000 under $50,000",440
12809,"$50,000 under $75,000",240
12809,"$75,000 under $100,000",180
12809,"$100,000 under $200,000",200
12809,"$200,000 or more",**
,,
12810,,310
12810,"$1 under $25,000",140
12810,"$25,000 under $50,000",90
12810,"$50,000 under $75,000",40
12810,"$75,000 under $100,000",20
12810,"$100,000 under $200,000",20
12810,"$200,000 or more",**
,,
12812,,100
12812,"$1 under $25,000",40
12812,"$25,000 under $50,000",30
12812,"$50,000 under $75,000",**
12812,"$75,000 under $100,000",30
12812,"$100,000 under $200,000",**
12812,"$200,000 or more",**
,,
12814,,960
12814,"$1 under $25,000",400
12814,"$25,000 under $50,000",210
12814,"$50,000 under $75,000",100
12814,"$75,000 under $100,000",80
12814,"$100,000 under $200,000",120
12814,"$200,000 or more",50
,,
12815,,490
12815,"$1 under $25,000",150
12815,"$25,000 under $50,000",140
12815,"$50,000 under $75,000",80
12815,"$75,000 under $100,000",50
12815,"$100,000 under $200,000",70
12815,"$200,000 or more",**
,,
12816,,"2,080"
12816,"$1 under $25,000",740
12816,"$25,000 under $50,000",520
12816,"$50,000 under $75,000",340
12816,"$75,000 under $100,000",210
12816,"$100,000 under $200,000",230
12816,"$200,000 or more",40
,,
12817,,"1,120"
12817,"$1 under $25,000",400
12817,"$25,000 under $50,000",280
12817,"$50,000 under $75,000",170
12817,"$75,000 under $100,000",110
12817,"$100,000 under $200,000",130
12817,"$200,000 or more",30
,,
12819,,130
12819,"$1 under $25,000",60
12819,"$25,000 under $50,000",50
12819,"$50,000 under $75,000",**
12819,"$75,000 under $100,000",20
12819,"$100,000 under $200,000",**
12819,"$200,000 or more",**
,,
12821,,140
12821,"$1 under $25,000",50
12821,"$25,000 under $50,000",40
12821,"$50,000 under $75,000",30
12821,"$75,000 under $100,000",20
12821,"$100,000 under $200,000",**
12821,"$200,000 or more",0
,,
12822,,"2,810"
12822,"$1 under $25,000",1040
12822,"$25,000 under $50,000",780
12822,"$50,000 under $75,000",420
12822,"$75,000 under $100,000",300
12822,"$100,000 under $200,000",270
12822,"$200,000 or more",**
,,
12823,,130
12823,"$1 under $25,000",40
12823,"$25,000 under $50,000",30
12823,"$50,000 under $75,000",40
12823,"$75,000 under $100,000",**
12823,"$100,000 under $200,000",20
12823,"$200,000 or more",**
,,
12824,,430
12824,"$1 under $25,000",150
12824,"$25,000 under $50,000",90
12824,"$50,000 under $75,000",60
12824,"$75,000 under $100,000",40
12824,"$100,000 under $200,000",70
12824,"$200,000 or more",20
,,
12827,,"1,900"
12827,"$1 under $25,000",670
12827,"$25,000 under $50,000",480
12827,"$50,000 under $75,000",320
12827,"$75,000 under $100,000",210
12827,"$100,000 under $200,000",190
12827,"$200,000 or more",30
,,
12828,,"4,760"
12828,"$1 under $25,000",1780
12828,"$25,000 under $50,000",1290
12828,"$50,000 under $75,000",750
12828,"$75,000 under $100,000",420
12828,"$100,000 under $200,000",480
12828,"$200,000 or more",40
,,
12831,,"8,580"
12831,"$1 under $25,000",2700
12831,"$25,000 under $50,000",1660
12831,"$50,000 under $75,000",1180
12831,"$75,000 under $100,000",960
12831,"$100,000 under $200,000",1710
12831,"$200,000 or more",370
,,
12832,,"2,780"
12832,"$1 under $25,000",1120
