"ZIP
code [1]",Size of adjusted gross income,Number of returns
10308,"$200,000 or more",720
,,
10309,,"14,900"
10309,"$1 under $25,000",4100
10309,"$25,000 under $50,000",2550
10309,"$50,000 under $75,000",2050
10309,"$75,000 under $100,000",1630
10309,"$100,000 under $200,000",3480
10309,"$200,000 or more",1090
,,
10310,,"11,460"
10310,"$1 under $25,000",4420
10310,"$25,000 under $50,000",2350
10310,"$50,000 under $75,000",1400
10310,"$75,000 under $100,000",1030
10310,"$100,000 under $200,000",1830
10310,"$200,000 or more",430
,,
10312,,"29,250"
10312,"$1 under $25,000",8070
10312,"$25,000 under $50,000",5020
10312,"$50,000 under $75,000",4060
10312,"$75,000 under $100,000",3460
10312,"$100,000 under $200,000",6890
10312,"$200,000 or more",1750
,,
10314,,"40,530"
10314,"$1 under $25,000",12450
10314,"$25,000 under $50,000",7950
10314,"$50,000 under $75,000",5790
10314,"$75,000 under $100,000",4650
10314,"$100,000 under $200,000",7880
10314,"$200,000 or more",1810
,,
10451,,"23,350"
10451,"$1 under $25,000",12670
10451,"$25,000 under $50,000",6360
10451,"$50,000 under $75,000",2560
10451,"$75,000 under $100,000",1000
10451,"$100,000 under $200,000",700
10451,"$200,000 or more",60
,,
10452,,"36,390"
10452,"$1 under $25,000",22230
10452,"$25,000 under $50,000",9340
10452,"$50,000 under $75,000",3330
10452,"$75,000 under $100,000",960
10452,"$100,000 under $200,000",500
10452,"$200,000 or more",30
,,
10453,,"37,870"
10453,"$1 under $25,000",23970
10453,"$25,000 under $50,000",9430
10453,"$50,000 under $75,000",3030
10453,"$75,000 under $100,000",880
10453,"$100,000 under $200,000",560
10453,"$200,000 or more",**
,,
10454,,"15,910"
10454,"$1 under $25,000",10000
10454,"$25,000 under $50,000",4070
10454,"$50,000 under $75,000",1260
10454,"$75,000 under $100,000",330
10454,"$100,000 under $200,000",230
10454,"$200,000 or more",20
,,
10455,,"17,900"
10455,"$1 under $25,000",10630
10455,"$25,000 under $50,000",4830
10455,"$50,000 under $75,000",1660
10455,"$75,000 under $100,000",510
10455,"$100,000 under $200,000",270
10455,"$200,000 or more",**
,,
10456,,"40,540"
10456,"$1 under $25,000",25320
10456,"$25,000 under $50,000",10540
10456,"$50,000 under $75,000",3190
10456,"$75,000 under $100,000",950
10456,"$100,000 under $200,000",520
10456,"$200,000 or more",20
,,
10457,,"33,040"
10457,"$1 under $25,000",20850
10457,"$25,000 under $50,000",8230
10457,"$50,000 under $75,000",2670
10457,"$75,000 under $100,000",800
10457,"$100,000 under $200,000",460
10457,"$200,000 or more",30
,,
10458,,"34,540"
10458,"$1 under $25,000",20400
10458,"$25,000 under $50,000",8850
10458,"$50,000 under $75,000",3360
