SITE ID,STATUS,PPT_ID,ADDRESS,CITY,STATE,ZIP,BORO,LATITUDE,LONGITUDE,CROSS_STREET_1,CROSS_STREET_2,CORNER,INSTALL_DATE,ACTIVE_DATE,WIFI_STATUS,TABLET_STATUS,PHONE_STATUS,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,NTA,NTA_NAME
mn-08-121015,Link Active!,121015,200 EAST 80 STREET,New York,NY,10075,Manhattan,40.774855,-73.956665,3 AVENUE,2 AVENUE,SE,02/15/2016 12:00:00 AM,03/30/2016 12:00:00 AM,up,up,up,8,5,138,MN32,Yorkville
mn-08-121016,Link Active!,121016,1388 3 AVENUE,New York,NY,10075,Manhattan,40.774207,-73.957499,EAST 79 STREET,EAST 78 STREET,SW,03/02/2016 12:00:00 AM,03/30/2016 12:00:00 AM,up,up,up,8,4,140,MN40,Upper East Side-Carnegie Hill
mn-08-121017,Link Active!,121017_121018,1518 3 AVENUE,New York,NY,10028,Manhattan,40.778272,-73.954541,EAST 85 STREET,EAST 86 STREET,NW,03/19/2016 12:00:00 AM,06/09/2016 12:00:00 AM,up,down,up,8,5,14801,MN40,Upper East Side-Carnegie Hill
mn-08-121019,Link Active!,121019,1505 3 AVENUE,New York,NY,10028,Manhattan,40.778003,-73.954428,EAST 85 STREET,EAST 84 STREET,SE,03/19/2016 12:00:00 AM,03/28/2016 12:00:00 AM,up,up,up,8,5,14601,MN32,Yorkville
mn-08-121020,Link Active!,121020,164 EAST 84 STREET,New York,NY,10028,Manhattan,40.777528,-73.955153,3 AVENUE,LEXINGTON AVENUE,SW,02/26/2016 12:00:00 AM,03/24/2016 12:00:00 AM,up,up,up,8,5,140,MN40,Upper East Side-Carnegie Hill
mn-08-121021,Link Active!,121021,1495 3 AVENUE,New York,NY,10028,Manhattan,40.777561,-73.954752,EAST 84 STREET,EAST 85 STREET,NE,02/26/2016 12:00:00 AM,04/15/2016 12:00:00 AM,up,up,up,8,5,14601,MN32,Yorkville
mn-08-121023,Link Active!,121023,1460 3 AVENUE,New York,NY,10028,Manhattan,40.776833,-73.955586,EAST 83 STREET,EAST 82 STREET,SW,02/15/2016 12:00:00 AM,03/30/2016 12:00:00 AM,up,up,up,8,5,140,MN40,Upper East Side-Carnegie Hill
mn-08-121031,Link Installed; Connecting Power and Fiber,121031,34 EAST 73 STREET,New York,NY,10021,Manhattan,40.77237316,-73.96483887,MADISON AVENUE,PARK AVENUE,SE,02/17/2018 12:00:00 AM,,Not Available,Not Available,Not Available,8,4,130,MN40,Upper East Side-Carnegie Hill
mn-08-121036,Link Active!,121036_121037,30 EAST 76 STREET,New York,NY,10021,Manhattan,40.77428147,-73.96346015,MADISON AVENUE,PARK AVENUE,SE,02/03/2018 12:00:00 AM,04/06/2018 12:00:00 AM,up,down,up,8,4,130,MN40,Upper East Side-Carnegie Hill
mn-08-121038,Link Active!,121038_121039,29 EAST 76 STREET,New York,NY,10021,Manhattan,40.77449753,-73.96372269,MADISON AVENUE,5 AVENUE,NW,01/27/2018 12:00:00 AM,04/10/2018 12:00:00 AM,up,down,up,8,4,130,MN40,Upper East Side-Carnegie Hill
mn-08-121040,Link Active!,121040,39 EAST 81 STREET,New York,NY,10028,Manhattan,40.77760614,-73.96094657,MADISON AVENUE,PARK AVENUE,NE,02/03/2018 12:00:00 AM,05/17/2018 12:00:00 AM,up,up,up,8,4,142,MN40,Upper East Side-Carnegie Hill
mn-08-121042,Link Active!,121042,40 EAST 80 STREET,New York,NY,10075,Manhattan,40.77691823,-73.96153957,MADISON AVENUE,PARK AVENUE,SE,02/03/2018 12:00:00 AM,04/06/2018 12:00:00 AM,up,up,up,8,4,142,MN40,Upper East Side-Carnegie Hill
mn-08-121048,Link Installed; Connecting Power and Fiber,121048,26 EAST 84 STREET,New York,NY,10028,Manhattan,40.77956091,-73.9599541,MADISON AVENUE,5 AVENUE,SW,04/10/2018 12:00:00 AM,,Not Available,Not Available,Not Available,8,4,142,MN40,Upper East Side-Carnegie Hill
mn-08-121049,Link Active!,121049,36 EAST 84 STREET,New York,NY,10028,Manhattan,40.7794538122665,-73.95968089074518,MADISON AVENUE,PARK AVENUE,SE,11/18/2017 12:00:00 AM,03/29/2018 12:00:00 AM,up,up,up,8,4,142,MN40,Upper East Side-Carnegie Hill
mn-08-121051,Link Active!,121051_121052,40 EAST 83 STREET,New York,NY,10028,Manhattan,40.7787946465744,-73.96011566547963,MADISON AVENUE,PARK AVENUE,SE,02/04/2018 12:00:00 AM,05/17/2018 12:00:00 AM,up,up,up,8,4,142,MN40,Upper East Side-Carnegie Hill
mn-08-121058,Link Active!,121058_121059,50 EAST 86 STREET,New York,NY,10028,Manhattan,40.78071593110029,-73.95872117469753,MADISON AVENUE,PARK AVENUE,SE,03/04/2018 12:00:00 AM,05/11/2018 12:00:00 AM,up,up,up,8,4,15001,MN40,Upper East Side-Carnegie Hill
mn-08-121133,Link Active!,121133_121146,793 MADISON AVENUE,New York,NY,10065,Manhattan,40.768649,-73.967597,EAST 67 STREET,EAST 68 STREET,NE,04/08/2017 12:00:00 AM,06/09/2017 12:00:00 AM,up,up,up,8,4,122,MN40,Upper East Side-Carnegie Hill
mn-08-121142,Link Pending Activation,121142,22 EAST 69 STREET,New York,NY,10065,Manhattan,40.76974939,-73.96676342,MADISON AVENUE,PARK AVENUE,SE,02/03/2018 12:00:00 AM,,Not Available,Not Available,Not Available,8,4,122,MN40,Upper East Side-Carnegie Hill
bk-02-126506,Link Active!,126506,339 LIVINGSTON STREET,New York,NY,11217,Brooklyn,40.68764898,-73.98042355,FLATBUSH AVENUE,NEVINS STREET,NW,11/13/2016 12:00:00 AM,07/26/2017 12:00:00 AM,up,up,up,2,33,37,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
bk-06-145909,Link Active!,145909,548 4 AVENUE,New York,NY,11215,Brooklyn,40.666904,-73.991789,15 STREET,14 STREET,NW,07/15/2017 12:00:00 AM,01/05/2018 12:00:00 AM,up,up,up,6,39,117,BK37,Park Slope-Gowanus
bk-08-132895,Link Active!,132895,773 WASHINGTON AVENUE,New York,NY,11238,Brooklyn,40.673692,-73.96286903,ST. JOHNS PLACE,STERLING PLACE,NE,12/08/2017 12:00:00 AM,03/08/2018 12:00:00 AM,up,up,up,8,35,215,BK64,Prospect Heights
bk-09-127716,Link Active!,127716,900 NOSTRAND AVENUE,New York,NY,11225,Brooklyn,40.66734613,-73.95080928,CARROLL STREET,PRESIDENT STREET,NW,03/11/2017 12:00:00 AM,04/28/2017 12:00:00 AM,up,up,up,9,35,321,BK63,Crown Heights South
mn-08-121152,Link Active!,121152_121153,29 EAST 70 STREET,New York,NY,10021,Manhattan,40.77045871,-73.96622435,MADISON AVENUE,PARK AVENUE,NE,02/03/2018 12:00:00 AM,04/06/2018 12:00:00 AM,up,down,up,8,4,130,MN40,Upper East Side-Carnegie Hill
mn-08-121697,Link Installed; Connecting Power and Fiber,121697_121716,400 EAST 63 STREET,New York,NY,10065,Manhattan,40.76199324,-73.95999822,1 AVENUE,YORK AVENUE,SE,12/08/2017 12:00:00 AM,,Not Available,Not Available,Not Available,8,5,10602,MN31,Lenox Hill-Roosevelt Island
mn-08-121708,Link Active!,121708,351 EAST 60 STREET,New York,NY,10065,Manhattan,40.76035998,-73.96166314,1 AVENUE,QUEENSBORO BRIDGE RAMP,NW,10/17/2017 12:00:00 AM,03/14/2018 12:00:00 AM,up,up,up,8,5,110,MN31,Lenox Hill-Roosevelt Island
mn-08-121734,Link Active!,121734_121738,991 3 AVENUE,New York,NY,10022,Manhattan,40.76160412,-73.9663883,EAST 59 STREET,EAST 60 STREET,NE,02/27/2016 12:00:00 AM,03/29/2016 12:00:00 AM,up,up,up,8,4,110,MN31,Lenox Hill-Roosevelt Island
mn-08-121741,Link Active!,121741_121754,201 EAST 60 STREET,New York,NY,10065,Manhattan,40.76210714,-73.96580928,3 AVENUE,2 AVENUE,NE,02/27/2016 12:00:00 AM,03/29/2016 12:00:00 AM,up,up,up,8,4,110,MN31,Lenox Hill-Roosevelt Island
mn-08-121750,Link Active!,121750,201 EAST 64 STREET,New York,NY,10065,Manhattan,40.764653507874954,-73.96407554232786,3 AVENUE,2 AVENUE,NE,06/30/2017 12:00:00 AM,08/03/2017 12:00:00 AM,up,up,up,8,4,118,MN31,Lenox Hill-Roosevelt Island
mn-08-121756,Link Active!,121756,1175 2 AVENUE,New York,NY,10065,Manhattan,40.76241687,-73.96315851,EAST 62 STREET,EAST 61 STREET,SW,01/27/2018 12:00:00 AM,04/11/2018 12:00:00 AM,up,up,up,8,4,110,MN31,Lenox Hill-Roosevelt Island
mn-08-121758,Link Active!,121758,1191 2 AVENUE,New York,NY,10065,Manhattan,40.763079643789375,-73.96268513962604,EAST 63 STREET,EAST 62 STREET,SW,10/28/2017 12:00:00 AM,02/16/2018 12:00:00 AM,up,down,up,8,4,110,MN31,Lenox Hill-Roosevelt Island
mn-08-121759,Link Active!,121759,1221 2 AVENUE,New York,NY,10065,Manhattan,40.7636906,-73.96223547,EAST 64 STREET,EAST 63 STREET,SW,11/14/2017 12:00:00 AM,03/20/2018 12:00:00 AM,up,up,down,8,4,110,MN31,Lenox Hill-Roosevelt Island
mn-08-121764,Link Active!,121764_121765,1131 2 AVENUE,New York,NY,10022,Manhattan,40.76104904,-73.96418067,EAST 60 STREET,EAST 59 STREET,Midblock,10/28/2017 12:00:00 AM,02/22/2018 12:00:00 AM,up,down,up,8,4,110,MN31,Lenox Hill-Roosevelt Island
mn-08-121767,Link Active!,121767_121768,300 EAST 61 STREET,New York,NY,10065,Manhattan,40.76174825,-73.96331113,2 AVENUE,ED KOCH QUEENSBORO BRIDGE EXIT,SE,11/11/2017 12:00:00 AM,02/16/2018 12:00:00 AM,up,up,up,8,5,110,MN31,Lenox Hill-Roosevelt Island
mn-08-121861,Ready to Install,121861_121862,24 EAST 63 STREET,New York,NY,10065,Manhattan,40.766215508783006,-73.9699786709761,MADISON AVENUE,5 AVENUE,Midblock,,,Not Available,Not Available,Not Available,8,4,11401,MN40,Upper East Side-Carnegie Hill
mn-08-121988,Link Active!,121988,30 EAST 64 STREET,New York,NY,10065,Manhattan,40.766736,-73.969308,MADISON AVENUE,5 AVENUE,SW,12/18/2016 12:00:00 AM,04/21/2017 12:00:00 AM,up,up,up,8,4,122,MN40,Upper East Side-Carnegie Hill
mn-08-128743,Link Active!,128743,228 EAST 86 STREET,New York,NY,10028,Manhattan,40.77823255727984,-73.95282089266084,2 AVENUE,3 AVENUE,SW,11/04/2016 12:00:00 AM,02/01/2017 12:00:00 AM,up,up,up,8,5,14601,MN32,Yorkville
mn-08-128748,Link Active!,128748,1325 3 AVENUE,New York,NY,10021,Manhattan,40.772144,-73.958697,EAST 76 STREET,EAST 75 STREET,SE,03/05/2016 12:00:00 AM,03/24/2016 12:00:00 AM,up,up,up,8,4,134,MN31,Lenox Hill-Roosevelt Island
mn-08-133368,Link Active!,133368_133369,201 EAST 86 STREET,New York,NY,10028,Manhattan,40.778792,-73.953663,3 AVENUE,2 AVENUE,NE,04/23/2016 12:00:00 AM,05/05/2016 12:00:00 AM,up,down,up,8,5,14602,MN32,Yorkville
mn-08-134739,Link Active!,134739,1347 3 AVENUE,New York,NY,10021,Manhattan,40.77281462,-73.95822043,EAST 77 STREET,EAST 76 STREET,SE,04/16/2016 12:00:00 AM,05/16/2016 12:00:00 AM,up,up,up,8,4,134,MN31,Lenox Hill-Roosevelt Island
mn-08-134740,Link Active!,134740_134741,1475 3 AVENUE,New York,NY,10028,Manhattan,40.77703018560788,-73.95513840944773,EAST 85 STREET,EAST 84 STREET,NE,03/02/2016 12:00:00 AM,03/30/2016 12:00:00 AM,up,up,up,8,5,138,MN32,Yorkville
mn-08-134742,Link Active!,134742_134743,1330 3 AVENUE,New York,NY,10021,Manhattan,40.7724771,-73.95876684,EAST 76 STREET,EAST 77 STREET,NW,03/05/2016 12:00:00 AM,03/24/2016 12:00:00 AM,up,up,up,8,4,128,MN40,Upper East Side-Carnegie Hill
mn-08-134746,Link Active!,134746_134747,238 EAST 86 STREET,New York,NY,10028,Manhattan,40.77814082,-73.9525944,2 AVENUE,3 AVENUE,MIDBLK,11/04/2016 12:00:00 AM,02/01/2017 12:00:00 AM,up,up,up,8,5,14601,MN32,Yorkville
