,poverty_rate_nyc,poverty_rate_boro,poverty_rate,crime_count,crime_count_nyc,crime_count_boro,pop_2010,female_85_over,male_85_over,female_80_84,male_80_84,female_75_79,male_75_79,female_70_74,male_70_74,female_65_69,male_65_69,female_60_64,male_60_64,female_55_59,male_55_59,female_50_54,male_50_54,female_45_49,male_45_49,female_40_44,male_40_44,female_35_39,male_35_39,female_30_34,male_30_34,female_25_29,male_25_29,female_20_24,male_20_24,female_15_19,male_15_19,female_10_14,male_10_14,female_5_9,male_5_9,female_under_5,male_under_5
10,20.5,27.5,13.5,1102,99843,20421,120392,2.036153009,0.7426724170000001,1.928987061,0.881923496,2.089735983,1.578178887,2.250484905,1.7638469909999999,2.893480592,2.1351832,3.482893305,2.877855617,3.697225201,3.063523721,4.286637914,3.2027747989999997,3.911557096,3.4812769560000003,3.107812487,3.3420258780000003,3.161395461,2.924272643,3.054229513,2.785021565,3.161395461,2.59935346,3.804391148,4.131115321,3.00064654,2.738604539,2.679148696,2.738604539,2.6255657219999997,2.785021565,2.4648168,2.645770487
11,20.5,27.5,21.6,1227,99843,20421,113232,1.7148972759999999,0.576400991,1.299164603,0.7685346540000001,1.3511311869999998,0.960668318,1.6109641080000001,1.296902229,2.026696781,1.63313614,2.598329206,2.2575705459999997,3.221928215,2.833971537,3.4297945519999997,3.218238864,3.6896274730000003,3.170205448,3.4817611360000003,3.506439359,3.169961631,3.650539607,4.2612598980000005,3.650539607,4.0014269769999995,4.130873766000001,4.0014269769999995,3.410372527,2.754228958,3.26627228,3.0140618789999998,3.650539607,3.2738948,3.170205448,3.117995047,2.882004953
12,20.5,21.2,17.7,2479,99843,29170,173083,0.9575167529999999,0.446439433,0.755934278,0.396835051,0.8567255159999999,0.545648196,0.9575167529999999,0.69446134,1.612659794,1.339318299,2.217407217,1.73615335,2.5197809280000003,2.08338402,2.267802835,2.4802190719999997,2.267802835,2.529823453,2.7717590210000003,3.174680412,4.132440722,4.613207473,6.400243558,6.845404638,8.012903352,6.944613401,3.9308582480000003,3.422702319,1.9654291240000001,2.4802190719999997,2.267802835,2.529823453,2.570176547,2.8274497419999998,3.9308582480000003,4.464394329
13,20.5,21.2,12.4,1923,99843,29170,99617,0.998843725,0.426863499,0.998843725,0.426863499,0.9462730020000001,0.616580609,1.471980226,1.280590497,1.9451167269999998,1.660024718,2.575965395,1.8971711059999998,2.628536117,2.1343174940000003,2.5233946730000003,2.324034605,3.0491018960000003,3.272620158,3.785092009,3.699483657,4.889077179,4.885215598,7.044476795,6.0235182620000005,6.150774515,4.980074153,3.9953748989999998,3.9840593230000003,2.418253228,1.9446003840000001,1.7348338380000001,2.086888217,2.102828894,2.371463883,3.311955508,3.462337268
14,20.5,21.2,25.2,1625,99843,29170,112634,0.45148102100000004,0.299012653,0.601974695,0.348848095,0.8527974840000001,0.598025305,1.2039493890000001,0.7973670740000001,1.7055949680000002,1.146215169,2.157075989,1.3455569369999998,2.307569663,2.242594895,2.6587215680000003,2.491772106,3.210531705,2.8406202,2.959708915,3.388810064,3.762341842,3.936999927,4.865962115,5.133050538,5.869253272999999,6.7776201270000005,5.367607694,5.43206319,3.0098734730000003,3.2393037369999997,2.759050684,3.2393037369999997,3.0098734730000003,3.139632853,3.4111899360000004,3.4884809480000003
15,20.5,21.2,32.1,3222,99843,29170,182896,0.872800888,0.363599556,0.818250832,0.590849279,0.981900999,0.590849279,1.800151831,0.863548946,1.9638019969999998,1.318048391,2.727502774,2.181597337,3.000253051,2.454297004,3.98215405,2.9087964489999996,3.818503883,2.590646838,3.5457536060000003,2.863346505,3.6003036610000003,2.9996963389999998,3.818503883,2.9087964489999996,4.145804216,3.499645728,4.9095049930000005,3.9541451739999998,3.8730539389999996,3.9086952289999997,3.327553384,3.499645728,3.6003036610000003,3.6359955619999997,3.763953828,4.272294785
16,20.5,21.2,28.4,1129,99843,29170,126230,0.684918617,0.30646345,0.733841376,0.561849658,0.978455167,0.6129269,1.076300684,0.817235866,1.418759993,1.174776558,2.152601368,2.043089665,2.4950606769999997,2.451707598,3.033211019,3.064634498,3.2778248110000003,3.371097948,3.522438602,3.626484156,4.354125495,4.596951747,3.8648979110000004,5.056646922,4.990121353,5.61849658,3.7181296360000005,3.8818703639999996,2.7396744689999997,2.5538620819999998,2.641828952,3.1667889810000003,3.3267475689999997,3.9840248469999997,3.8648979110000004,4.086179331
17,20.5,21.2,22.7,1363,99843,29170,96317,1.085846424,0.36566143100000004,0.8686771390000001,0.36566143100000004,1.140138745,0.731322861,1.5201849930000002,0.9141535759999999,2.063108205,1.55406108,2.714616059,2.102553225,3.20324695,2.559630014,3.8547548039999997,2.3767992980000003,2.986077665,2.925291444,3.746170162,3.3823682319999997,4.343385695,3.47378359,5.700693725,4.753598597,5.9178630089999995,5.210675385,4.017631768,3.47378359,2.714616059,2.970999123,2.714616059,2.1482609040000002,2.660323738,2.513922335,2.986077665,3.885152699
18,20.5,21.2,23.1,1345,99843,29170,98429,1.246911038,0.45786476600000003,1.084270468,0.6867971490000001,1.301124561,0.8241565790000001,1.734832748,1.0530889620000001,2.764889693,1.556740205,3.03595731,2.1061779240000003,3.469665497,2.609829167,3.68651959,2.792975073,3.19859788,2.289323831,3.03595731,2.655615644,3.415451973,3.021907456,4.716576535,3.846064036,4.825003581,4.853366521,4.066014254,4.349715278,2.7106761689999996,2.83876155,3.252811403,2.97612098,2.9817437860000005,3.159266886,3.632306067,3.800277559
19,20.5,21.2,23.2,1119,99843,29170,181981,1.579782667,0.8827068379999999,1.375939742,0.83366757,1.324979011,1.22598172,1.732664861,1.5202173330000002,2.242272173,2.0106100209999997,3.1086046030000003,2.84427759,3.5162904530000003,3.1875524719999997,3.6691726460000003,3.530827354,3.5162904530000003,3.138513203,3.465329722,3.432748816,3.41436899,3.2365917410000002,3.974937034,4.168337848,4.22974069,4.266416385,3.2105260660000003,3.2365917410000002,2.598997291,2.6971597839999997,2.242272173,2.795238322,2.54803656,3.0404346660000003,3.261486797,2.942356128
