,age0_18,age19_35,age36_55,age56_102,low_income,medium_income,high_income,shoes,restaurant,gym,clothes,clinic
10029,0.034876637222053,0.0282146728570552,0.024493704741143787,0.023481658206971644,0.7447108603667136,0.18138222849083216,0.07390691114245417,0.008928571428571428,0.014595660749506903,0.015625,0.002079002079002079,0.029850746268656716
10035,0.0155865768222105,0.012754893338514716,0.01424988927936685,0.01150465149792644,0.735370611183355,0.18075422626788035,0.08387516254876463,0.008928571428571428,0.005128205128205128,0.015625,0.0,0.014925373134328358
10010,0.00521905158131691,0.01633158120794388,0.011460304496120463,0.011916961555089428,0.29061784897025167,0.2585812356979405,0.45080091533180777,0.017857142857142856,0.021696252465483234,0.0625,0.010395010395010396,0.08955223880597014
10016,0.007232379664643433,0.029636144233325834,0.018903031732245876,0.018822154260003523,0.30064754856614245,0.280604378661733,0.41874807277212456,0.008928571428571428,0.047337278106508875,0.015625,0.006237006237006237,0.08955223880597014
10017,0.0020170427107865352,0.007715828441699221,0.006045058983900932,0.007293484700494772,0.2687296416938111,0.22964169381107494,0.501628664495114,0.0625,0.01893491124260355,0.015625,0.037422037422037424,0.014925373134328358
10022,0.005323061150197247,0.00990683737958399,0.01141716658710119,0.020851680463708708,0.2471576866040534,0.2244191794364805,0.5284231339594662,0.05357142857142857,0.01972386587771203,0.046875,0.0498960498960499,0.04477611940298507
10012,0.004204958284733624,0.012629619781972879,0.009378181420790171,0.010035546731141818,0.3367029548989114,0.24572317262830484,0.4175738724727839,0.11607142857142858,0.04773175542406312,0.015625,0.1683991683991684,0.0
10013,0.00797530515664584,0.011254167263207411,0.01275731762729997,0.011872928442188525,0.437375745526839,0.1795891318754142,0.38303512259774686,0.0625,0.04299802761341223,0.0,0.04781704781704782,0.014925373134328358
10014,0.005040749463236332,0.014227496778679974,0.015098268156745906,0.013846412502201656,0.2684458398744113,0.23914181057038197,0.49241234955520663,0.008928571428571428,0.03550295857988166,0.015625,0.016632016632016633,0.014925373134328358
10004,0.0007949302764425755,0.0018969995704906633,0.0014206751370347576,0.0006404816421949306,0.2409638554216868,0.19678714859437751,0.5622489959839357,0.008928571428571428,0.015779092702169626,0.0,0.004158004158004158,0.0
10005,0.0007577840018424552,0.005908309983024155,0.002340950529445937,0.00045634317006388805,0.2435064935064935,0.25487012987012986,0.5016233766233766,0.0,0.010650887573964497,0.015625,0.002079002079002079,0.0
10006,0.00031202870664101095,0.002554046591536621,0.0010381856770638614,0.0003002257697788737,0.2551440329218107,0.2551440329218107,0.4897119341563786,0.008928571428571428,0.00631163708086785,0.0,0.0,0.0
10007,0.002239920358387257,0.00378121612500767,0.004463335653194218,0.0012969753254447344,0.21621621621621623,0.13513513513513514,0.6486486486486487,0.008928571428571428,0.005917159763313609,0.0,0.002079002079002079,0.014925373134328358
10038,0.0049478837767360315,0.010507639130345857,0.006217610619978028,0.007229436536275279,0.4455364455364455,0.22768222768222768,0.3267813267813269,0.008928571428571428,0.024063116370808678,0.015625,0.02286902286902287,0.014925373134328358
10280,0.0023885054567877387,0.0030449144049250402,0.003896791114741086,0.0023897971274398347,0.21149425287356322,0.20229885057471264,0.5862068965517242,0.0,0.0035502958579881655,0.0,0.0,0.0
10002,0.02702762939904757,0.0281328615548238,0.03095863937283232,0.03812867276191696,0.7094234776568651,0.17087288724241723,0.11970363510071777,0.008928571428571428,0.035897435897435895,0.015625,0.02079002079002079,0.014925373134328358
10003,0.009639458258731233,0.031170106150164644,0.02039272752371147,0.019502666004835637,0.31081530782029954,0.2555740432612313,0.4336106489184692,0.08035714285714286,0.05996055226824457,0.078125,0.058212058212058215,0.05970149253731343
10009,0.014921658506868347,0.02819166342830262,0.022564002277681596,0.022188685891790627,0.5040047463660635,0.28211213289824977,0.21388312073568672,0.008928571428571428,0.021301775147928994,0.0,0.002079002079002079,0.014925373134328358
10021,0.011125309242736046,0.01357556296402348,0.014350544400411823,0.022412854466558853,0.2688172043010753,0.23614557485525225,0.49503722084367247,0.017857142857142856,0.009072978303747535,0.0,0.012474012474012475,0.0
10028,0.012499721402940499,0.014383449573558587,0.0161680883004239,0.021408098890365556,0.2829532276768458,0.2597603401623502,0.45728643216080406,0.0,0.0126232741617357,0.0,0.018711018711018712,0.029850746268656716
10044,0.0035623277341515418,0.003926942507107357,0.004805563064747126,0.0061806478471810805,0.4477958236658933,0.24825986078886308,0.3039443155452436,0.0,0.0007889546351084812,0.03125,0.0,0.0
10065,0.007722710489365021,0.010553657987851022,0.011374028678081917,0.016804637087089493,0.2774639045825486,0.24042686754551162,0.4821092278719397,0.008928571428571428,0.008678500986193294,0.0,0.006237006237006237,0.014925373134328358
