,age6_12,age13_17,age18_24,age25_34,age35_44,age45_54,age55_64,age65_102
10012,0.003919679418398406,0.003696055545579697,0.008396486713619563,0.014319216885310196,0.010646419864892615,0.008329968831252725,0.009906773168271018,0.010110232213549657
10013,0.008003591214662667,0.006284790806248878,0.010411941008917083,0.011181635544314334,0.013263269851466121,0.012054068894236204,0.012455529511715935,0.011322562057069305
10014,0.004740841307727681,0.003860657209552882,0.006894192368047241,0.017132634847963374,0.015969629797338923,0.014537878910224318,0.013987817551525082,0.013634968980819744
10004,0.000580287735126021,0.0003591309032142216,0.001256870021790705,0.0021610891889512315,0.0018112603528798513,0.0010820238691235608,0.0008723422008814449,0.00044152753560283475
10005,0.000591236560317078,0.0003142395403124439,0.003971411784829802,0.006747400689947733,0.00332239907752089,0.001569742090728509,0.0007661440199045734,0.00020953849147253175
10006,0.00022992532901219698,0.0002094930268749626,0.0018518380794431098,0.0028534381328189405,0.0015111387246410388,0.0006298347894898339,0.0004930629831069037,0.00011973628084144672
10007,0.002014583835154488,0.0007481893816962949,0.0019262090866496604,0.004322178377902463,0.006070881357181594,0.003010287301561667,0.0018812249201617247,0.0008755715536530791
10038,0.00448901832833337,0.004324534626204585,0.012077851570343818,0.009985032456358005,0.006829083365363858,0.00570727216937711,0.006076053068748151,0.008097165991902834
10280,0.0021240720870650577,0.0016011252768300711,0.001241995820349395,0.003569799178786108,0.004770354301480074,0.003384958253258184,0.002912864392508477,0.0018858464232527857
10002,0.027700527733374208,0.029852756329682168,0.029064189616319975,0.027705963805758103,0.029117063230888307,0.03263190193956816,0.03402893141873184,0.041458687241350926
10003,0.006131342106991919,0.005716166876159693,0.04106767017945724,0.02797409894586872,0.022019449987626564,0.019075919316548506,0.020541762434669156,0.018349585038951708
10009,0.015098429938467602,0.01693900760160412,0.027725511486602062,0.028218221983879875,0.021561369607683113,0.02362041956686746,0.02278709540389444,0.02173961849027517
10021,0.010894081065101714,0.007347219728257617,0.006418217921925317,0.016712423061222857,0.015095591371239923,0.013627040906962097,0.016961366618877486,0.02689576208400997
10028,0.013412310859044825,0.011267732088346203,0.008180810792720566,0.01718065905216229,0.01600122154767985,0.01630787616479062,0.017879222325891876,0.02408195948423597
