,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
183,way,266143307,40.7561723,-73.9879309,,shoes,Aldo,POINT (-73.98793089999999 40.7561723),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
13,node,2357937179,40.763629,-73.9711453,New York,shoes,Camper,POINT (-73.9711453 40.763629),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
52,node,3618689144,40.7616711,-73.9662275,,shoes,Clarks,POINT (-73.9662275 40.7616711),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
65,node,4316479494,40.7610894,-73.9730309,,shoes,Walking Company,POINT (-73.9730309 40.7610894),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
73,node,4458960902,40.7610181,-73.9706455,New York,shoes,CitiShoes,POINT (-73.9706455 40.7610181),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
159,node,5759323971,40.761412,-73.9740335,,shoes,Crockett & Jones,POINT (-73.9740335 40.761412),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
161,node,5859221938,40.7610198,-73.9730731,,shoes,Allen Edmonds,POINT (-73.97307309999999 40.7610198),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
14,node,2439964745,40.7838555,-73.9742517,,shoes,Naturino,POINT (-73.9742517 40.7838555),46,10024,0,New York,58521.0,22877335.4639181,NY,New York,36,061,http://www.usps.com/,0.0,0.0
15,node,2451205651,40.7872733,-73.9777974,New York,shoes,Aldo,POINT (-73.9777974 40.7872733),46,10024,0,New York,58521.0,22877335.4639181,NY,New York,36,061,http://www.usps.com/,0.0,0.0
80,node,4587340691,40.7863932,-73.9784585,,shoes,Harry's Shoes,POINT (-73.9784585 40.7863932),46,10024,0,New York,58521.0,22877335.4639181,NY,New York,36,061,http://www.usps.com/,0.0,0.0
184,way,269307472,40.7829902,-73.9751338,,shoes,Medici,POINT (-73.97513379999999 40.7829902),46,10024,0,New York,58521.0,22877335.4639181,NY,New York,36,061,http://www.usps.com/,0.0,0.0
185,way,269313803,40.783925,-73.9794102,New York,shoes,Designer Shoe Warehouse,POINT (-73.9794102 40.783925),46,10024,0,New York,58521.0,22877335.4639181,NY,New York,36,061,http://www.usps.com/,0.0,0.0
16,node,2478897584,40.7394803,-73.9950625,,shoes,Payless,POINT (-73.9950625 40.7394803),83,10011,0,New York,50594.0,18118416.8463268,NY,New York,36,061,http://www.usps.com/,0.0,0.0
22,node,2569050428,40.7370058,-73.9963766,,shoes,Foot Locker,POINT (-73.9963766 40.7370058),83,10011,0,New York,50594.0,18118416.8463268,NY,New York,36,061,http://www.usps.com/,0.0,0.0
106,node,5377570221,40.7407758,-74.0044925,,shoes,Sorel Footwear,POINT (-74.0044925 40.7407758),83,10011,0,New York,50594.0,18118416.8463268,NY,New York,36,061,http://www.usps.com/,0.0,0.0
17,node,2494254714,40.6920418,-73.9884651,,shoes,Sarit Shoes,POINT (-73.9884651 40.6920418),108,11201,0,Brooklyn,53041.0,41094886.7657365,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
24,node,2605312644,40.6918674,-73.9880043,,shoes,Zumiez,POINT (-73.9880043 40.6918674),108,11201,0,Brooklyn,53041.0,41094886.7657365,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
77,node,4559312795,40.6913815,-73.986757,,shoes,Payless Shoe Source,POINT (-73.986757 40.6913815),108,11201,0,Brooklyn,53041.0,41094886.7657365,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
78,node,4559312798,40.6905691,-73.985526,,shoes,Kids Foot Locker,POINT (-73.98552599999999 40.6905691),108,11201,0,Brooklyn,53041.0,41094886.7657365,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
19,node,2547218206,40.7303654,-73.9806635,New York,shoes,Pro Land,POINT (-73.98066350000001 40.7303654),94,10009,0,New York,61455.0,15903519.3012284,NY,New York,36,061,http://www.usps.com/,0.0,0.0
20,node,2550112954,40.7746227,-73.9810622,New York,shoes,UGG Australia,POINT (-73.9810622 40.7746227),60,10023,0,New York,62800.0,15212712.6781593,NY,New York,36,061,http://www.usps.com/,0.0,0.0
45,node,3271250889,40.7779693,-73.9786046,New York,shoes,Crocs,POINT (-73.9786046 40.7779693),60,10023,0,New York,62800.0,15212712.6781593,NY,New York,36,061,http://www.usps.com/,0.0,0.0
176,way,204876214,40.7786931,-73.9781161,,shoes,Footlights Shoes,POINT (-73.97811609999999 40.7786931),60,10023,0,New York,62800.0,15212712.6781593,NY,New York,36,061,http://www.usps.com/,0.0,0.0
21,node,2555120320,40.7198076,-74.0021901,,shoes,STADIUM GOODS,POINT (-74.00219010000001 40.7198076),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
66,node,4382630251,40.721446,-74.0020334,,shoes,Vans,POINT (-74.0020334 40.721446),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
79,node,4565955298,40.7206891,-74.0020439,New York,shoes,NikeLab 21M,POINT (-74.0020439 40.7206891),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
98,node,5302771421,40.724267,-74.0080555,,shoes,cncpts,POINT (-74.0080555 40.724267),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
154,node,5714220021,40.7187937,-74.0020394,,shoes,OriginsNYC,POINT (-74.0020394 40.7187937),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
168,node,5905571146,40.7182729,-74.0026265,,shoes,Infinity Shoes,POINT (-74.00262650000001 40.7182729),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
169,node,5905578939,40.7205709,-74.0006766,,shoes,Saga Footwear,POINT (-74.00067660000001 40.7205709),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
23,node,2603955360,40.8277566,-73.946018,,shoes,Shoeganza,POINT (-73.946018 40.8277566),36,10031,0,New York,57010.0,16902152.3659099,NY,New York,36,061,http://www.usps.com/,0.0,0.0
26,node,2707989156,40.8050158,-73.9657743,New York,shoes,Paul's Shoe Repair,POINT (-73.96577430000001 40.8050158),51,10025,0,New York,96054.0,19631043.8225259,NY,New York,36,061,http://www.usps.com/,0.0,0.0
29,node,2709430181,40.7517799,-73.9920745,,shoes,Footaction,POINT (-73.9920745 40.7517799),210,10122,1,New York,0.0,23294.63810493,NY,New York,36,061,http://www.usps.com/,0.0,0.0
32,node,2761809239,40.790665,-73.9448821,,shoes,Payless Shoe Source,POINT (-73.9448821 40.790665),53,10029,0,New York,77503.0,22963435.6769661,NY,New York,36,061,http://www.usps.com/,0.0,0.0
33,node,2824828289,40.7058282,-74.010131,New York,shoes,Minas Shoe Repair,POINT (-74.010131 40.7058282),106,10004,0,New York,2187.0,4002521.0970287,NY,New York,36,061,http://www.usps.com/,0.0,0.0
40,node,2870656996,40.7063269,-73.793017,Jamaica,shoes,4Ever Shoes,POINT (-73.79301700000001 40.7063269),171,11432,0,Jamaica,62075.0,60177575.6380646,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
142,node,5582256072,40.7280962,-73.7836862,,shoes,Turnpike Comfort Footware,POINT (-73.78368620000001 40.7280962),171,11432,0,Jamaica,62075.0,60177575.6380646,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
41,node,2883793080,40.804378,-73.9369813,,shoes,Payless Shoe Source,POINT (-73.9369813 40.804378),49,10035,0,New York,34884.0,15445657.3340813,NY,New York,36,061,http://www.usps.com/,0.0,0.0
42,node,2887513013,40.5872281,-73.811107,,shoes,GB's Sneaker Boutique,POINT (-73.81110700000001 40.5872281),149,11693,0,Far Rockaway,11052.0,12270916.5305379,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
44,node,3118018825,40.6449519,-73.902355,,shoes,Payless ShoeSource,POINT (-73.902355 40.6449519),128,11236,0,Brooklyn,94480.0,96373991.6201046,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
46,node,3315157057,40.5777334,-73.9619209,,shoes,Дом Обуви - Shoe House,POINT (-73.9619209 40.5777334),148,11235,0,Brooklyn,76130.0,69053803.0317134,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
47,node,3315201781,40.577219,-73.9651095,,shoes,Ремонт обуви - Shoe repair,POINT (-73.9651095 40.577219),148,11235,0,Brooklyn,76130.0,69053803.0317134,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
50,node,3453104468,40.7064369,-74.0034893,,shoes,Brother Vellies,POINT (-74.0034893 40.7064369),100,10038,0,New York,19127.0,7022760.64302604,NY,New York,36,061,http://www.usps.com/,0.0,0.0
51,node,3577907995,40.7606408,-73.9222264,,shoes,,POINT (-73.9222264 40.7606408),72,11106,0,Astoria,38665.0,23866112.7254688,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
54,node,3714107289,40.7489946,-73.8840359,,shoes,Payless ShoeSource,POINT (-73.8840359 40.7489946),159,11372,0,Jackson Heights,66636.0,20163283.8743202,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
61,node,3970473672,40.74564,-73.9826157,,shoes,Eneslow,POINT (-73.9826157 40.74564),84,10016,0,New York,54606.0,15042403.0377915,NY,New York,36,061,http://www.usps.com/,0.0,0.0
62,node,4008008891,40.7697115,-73.9628995,,shoes,French Sole Comfort,POINT (-73.96289950000001 40.7697115),66,10021,0,New York,45299.0,10495133.4084987,NY,New York,36,061,http://www.usps.com/,0.0,0.0
85,node,5017262525,40.7740143,-73.9635991,,shoes,Christian Louboutin,POINT (-73.9635991 40.7740143),66,10021,0,New York,45299.0,10495133.4084987,NY,New York,36,061,http://www.usps.com/,0.0,0.0
63,node,4261954990,40.7513547,-73.982196,,shoes,Payless Shoes,POINT (-73.982196 40.7513547),78,10018,0,New York,5503.0,10705796.4791701,NY,New York,36,061,http://www.usps.com/,0.0,0.0
64,node,4281354990,40.7606178,-73.9819075,,shoes,Men's Wearhouse,POINT (-73.98190750000001 40.7606178),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
72,node,4432512289,40.7685134,-73.9826514,,shoes,Cole Haan,POINT (-73.98265139999999 40.7685134),187,10019,0,New York,41966.0,18828383.1167983,NY,New York,36,061,http://www.usps.com/,0.0,0.0
67,node,4407735189,40.5815473,-74.1644878,,shoes,Payless Shoe Source,POINT (-74.1644878 40.5815473),137,10314,0,Staten Island,85430.0,473985727.130054,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
68,node,4407735234,40.5826758,-74.1659952,,shoes,Skechers,POINT (-74.1659952 40.5826758),137,10314,0,Staten Island,85430.0,473985727.130054,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
69,node,4414226403,40.5677538,-74.1120751,,shoes,Payless Shoe Source,POINT (-74.1120751 40.5677538),150,10306,0,Staten Island,55602.0,174102872.04866,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
70,node,4416981389,40.7096624,-74.0122014,,shoes,,POINT (-74.0122014 40.7096624),102,10006,0,New York,3011.0,1716640.92012239,NY,New York,36,061,http://www.usps.com/,0.0,0.0
71,node,4432455491,40.7584831,-73.9773562,,shoes,Cole Haan,POINT (-73.9773562 40.7584831),79,10020,0,New York,0.0,697297.02240016,NY,New York,36,061,http://www.usps.com/,0.0,0.0
163,node,5859233816,40.7591183,-73.9801604,,shoes,Allen Edmonds,POINT (-73.9801604 40.7591183),79,10020,0,New York,0.0,697297.02240016,NY,New York,36,061,http://www.usps.com/,0.0,0.0
74,node,4461963793,40.7417126,-73.9905466,,shoes,Shoegasm,POINT (-73.9905466 40.7417126),87,10010,0,New York,29881.0,9768395.56994528,NY,New York,36,061,http://www.usps.com/,0.0,0.0
146,node,5611457123,40.7398527,-73.9910591,,shoes,Nike,POINT (-73.9910591 40.7398527),87,10010,0,New York,29881.0,9768395.56994528,NY,New York,36,061,http://www.usps.com/,0.0,0.0
81,node,4882273178,40.6738191,-73.9862579,,shoes,Red Wing,POINT (-73.9862579 40.6738191),122,11215,0,Brooklyn,63272.0,61922821.7461638,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
92,node,5181111839,40.6759845,-73.9809368,,shoes,DNA Footware,POINT (-73.98093679999999 40.6759845),122,11215,0,Brooklyn,63272.0,61922821.7461638,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
149,node,5657662132,40.6701163,-73.9790899,,shoes,DNA Footware,POINT (-73.97908990000001 40.6701163),122,11215,0,Brooklyn,63272.0,61922821.7461638,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
150,node,5659198051,40.6709045,-73.9784322,,shoes,Eric New York,POINT (-73.9784322 40.6709045),122,11215,0,Brooklyn,63272.0,61922821.7461638,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
160,node,5788297022,40.6674245,-73.9813373,,shoes,Good Footing,POINT (-73.98133730000001 40.6674245),122,11215,0,Brooklyn,63272.0,61922821.7461638,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
172,node,5973681220,40.6678659,-73.9876006,,shoes,Windsor's World of Shoes,POINT (-73.98760059999999 40.6678659),122,11215,0,Brooklyn,63272.0,61922821.7461638,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
