index_left,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry
96,node,5286419721,40.8063036,-73.9885749,,shoes,Metromix,POINT (-73.9885749 40.8063036)
97,node,5286420821,40.8062665,-73.9884565,,shoes,Aerosoles,POINT (-73.9884565 40.8062665)
98,node,5302771421,40.724267,-74.0080555,,shoes,cncpts,POINT (-74.0080555 40.724267)
99,node,5302771422,40.8082105,-73.9458839,,shoes,atmos,POINT (-73.9458839 40.8082105)
100,node,5302771423,40.7195776,-73.9896139,,shoes,extra butter,POINT (-73.98961389999999 40.7195776)
101,node,5302774621,40.7260757,-73.9943092,,shoes,kith,POINT (-73.9943092 40.7260757)
102,node,5314268566,40.8105106,-73.9514575,,shoes,DSW,POINT (-73.9514575 40.8105106)
103,node,5324469322,40.7539366,-73.9789673,,shoes,Fila,POINT (-73.97896729999999 40.7539366)
104,node,5342856093,40.7556525,-73.804807,,shoes,Shoe Village,POINT (-73.804807 40.7556525)
105,node,5348372784,40.7065176,-73.8967296,,shoes,Payless Shoesource,POINT (-73.8967296 40.7065176)
106,node,5377570221,40.7407758,-74.0044925,,shoes,Sorel Footwear,POINT (-74.0044925 40.7407758)
107,node,5397482650,40.6926948,-73.8547372,,shoes,Payless,POINT (-73.8547372 40.6926948)
108,node,5403590645,40.7596482,-73.9182654,,shoes,Moe's,POINT (-73.9182654 40.7596482)
109,node,5419352921,40.7288797,-73.9934374,,shoes,Foot Locker,POINT (-73.9934374 40.7288797)
110,node,5425886613,40.7606345,-73.8268161,,shoes,Dong Yang Shoes Factory,POINT (-73.8268161 40.7606345)
111,node,5436317122,40.7491941,-73.985505,,shoes,Foot Locker,POINT (-73.985505 40.7491941)
112,node,5452825304,40.7591909,-73.8296315,Flushing,shoes,Foot Locker,POINT (-73.8296315 40.7591909)
113,node,5501873621,40.6836097,-73.8729876,,shoes,Lace Up,POINT (-73.8729876 40.6836097)
114,node,5523550668,40.723331,-73.998366,New York City,shoes,Steve Madden,POINT (-73.998366 40.723331)
115,node,5526582996,40.7616679,-73.9169999,,shoes,Fabco,POINT (-73.91699989999999 40.7616679)
116,node,5533872948,40.8895519,-74.2510168,Wayne,shoes,Red Wing,POINT (-74.2510168 40.8895519)
117,node,5534683322,40.8883529,-74.2596717,Wayne,shoes,Steve Madden,POINT (-74.2596717 40.8883529)
118,node,5534897209,40.8888929,-74.2601844,Wayne,shoes,Foot Locker,POINT (-74.2601844 40.8888929)
119,node,5534897213,40.8891832,-74.2608049,Wayne,shoes,Footaction,POINT (-74.2608049 40.8891832)
120,node,5534897214,40.8892398,-74.2609711,Wayne,shoes,Champs Sports,POINT (-74.26097110000001 40.8892398)
121,node,5534899028,40.8902311,-74.2608915,Wayne,shoes,Journeys,POINT (-74.2608915 40.8902311)
122,node,5535080860,40.889647,-74.2605122,Wayne,shoes,Payless,POINT (-74.26051219999999 40.889647)
123,node,5535080861,40.8895425,-74.2604771,Wayne,shoes,Kids Foot Locker,POINT (-74.2604771 40.8895425)
124,node,5535080862,40.8894753,-74.2604794,Wayne,shoes,Stride Rite,POINT (-74.26047939999999 40.8894753)
125,node,5535080869,40.8893283,-74.2600041,Wayne,shoes,Call It Spring,POINT (-74.2600041 40.8893283)
126,node,5535080872,40.8890699,-74.259894,Wayne,shoes,SKECHERS Retail,POINT (-74.259894 40.8890699)
127,node,5535080889,40.8895019,-74.2592594,Wayne,shoes,Aldo,POINT (-74.2592594 40.8895019)
128,node,5535080894,40.8899449,-74.2587807,Wayne,shoes,Aetrex,POINT (-74.2587807 40.8899449)
129,node,5535080903,40.8892502,-74.2588635,Wayne,shoes,Clarks,POINT (-74.2588635 40.8892502)
130,node,5535114146,40.8881023,-74.2582865,Wayne,shoes,Finish Line,POINT (-74.2582865 40.8881023)
131,node,5535114147,40.8882357,-74.2584547,Wayne,shoes,KicksUSA,POINT (-74.2584547 40.8882357)
132,node,5535114151,40.8884761,-74.2588676,Wayne,shoes,SIX:02,POINT (-74.2588676 40.8884761)
133,node,5539320238,40.9091245,-74.248053,Wayne,shoes,Jimlar Corporation,POINT (-74.248053 40.9091245)
134,node,5546399016,40.8288956,-73.8761351,,shoes,Footlocker,POINT (-73.8761351 40.8288956)
135,node,5552546694,40.8334483,-73.8601852,,shoes,Mister Sports,POINT (-73.8601852 40.8334483)
136,node,5557076436,40.7026869,-73.9017104,,shoes,Woodward Shoes Corporation,POINT (-73.9017104 40.7026869)
137,node,5559827146,40.7006417,-73.9029385,,shoes,Fabco Shoes,POINT (-73.9029385 40.7006417)
138,node,5559841739,40.7006032,-73.9033029,,shoes,Payless ShoeSource,POINT (-73.9033029 40.7006032)
139,node,5565403605,40.8242429,-73.8916747,,shoes,Fabco,POINT (-73.8916747 40.8242429)
140,node,5565403965,40.8242064,-73.8921116,,shoes,Payless,POINT (-73.89211160000001 40.8242064)
141,node,5567703625,40.6994841,-73.9100232,,shoes,Fabco Shoes,POINT (-73.9100232 40.6994841)
142,node,5582256072,40.7280962,-73.7836862,,shoes,Turnpike Comfort Footware,POINT (-73.78368620000001 40.7280962)
143,node,5591304778,40.6176296,-73.991494,,shoes,Fabco Shoes,POINT (-73.991494 40.6176296)
144,node,5591304780,40.6175106,-73.9916063,,shoes,Payless,POINT (-73.9916063 40.6175106)
145,node,5595533640,40.7117535,-73.9443023,,shoes,Hush Life Boutique,POINT (-73.9443023 40.7117535)
146,node,5611457123,40.7398527,-73.9910591,,shoes,Nike,POINT (-73.9910591 40.7398527)
147,node,5619980893,40.7008476,-73.8955386,,shoes,Marco Polo Shoes,POINT (-73.89553859999999 40.7008476)
148,node,5619982561,40.7008392,-73.8956838,,shoes,Sneaker Stadium,POINT (-73.8956838 40.7008392)
149,node,5657662132,40.6701163,-73.9790899,,shoes,DNA Footware,POINT (-73.97908990000001 40.6701163)
150,node,5659198051,40.6709045,-73.9784322,,shoes,Eric New York,POINT (-73.9784322 40.6709045)
151,node,5693960584,40.6850103,-73.9138864,,shoes,Moe Sports,POINT (-73.9138864 40.6850103)
152,node,5697481122,40.7492429,-73.9878213,,shoes,City Streets Shoes,POINT (-73.98782129999999 40.7492429)
153,node,5706178954,40.7029706,-73.9013871,,shoes,Ridgeboot Shoes - European Shoes for Kids,POINT (-73.90138709999999 40.7029706)
154,node,5714220021,40.7187937,-74.0020394,,shoes,OriginsNYC,POINT (-74.0020394 40.7187937)
155,node,5742310957,40.6817933,-73.9803525,,shoes,Slope Runners,POINT (-73.9803525 40.6817933)
156,node,5744244352,40.7592093,-74.043412,,shoes,Jersey Footwear,POINT (-74.043412 40.7592093)
157,node,5747115821,40.6357221,-73.9911836,,shoes,Shoe Palace,POINT (-73.9911836 40.6357221)
158,node,5747290736,40.6419478,-74.0138026,,shoes,Pink & Blue,POINT (-74.01380260000001 40.6419478)
159,node,5759323971,40.761412,-73.9740335,,shoes,Crockett & Jones,POINT (-73.9740335 40.761412)
160,node,5788297022,40.6674245,-73.9813373,,shoes,Good Footing,POINT (-73.98133730000001 40.6674245)
161,node,5859221938,40.7610198,-73.9730731,,shoes,Allen Edmonds,POINT (-73.97307309999999 40.7610198)
162,node,5859226170,40.7544852,-73.9814677,,shoes,Allen Edmonds,POINT (-73.9814677 40.7544852)
163,node,5859233816,40.7591183,-73.9801604,,shoes,Allen Edmonds,POINT (-73.9801604 40.7591183)
164,node,5859237169,40.7540956,-73.9780491,,shoes,Allen Edmonds,POINT (-73.97804910000001 40.7540956)
165,node,5859262364,40.753941,-73.978666,,shoes,Alden Shoes,POINT (-73.978666 40.753941)
166,node,5879940311,40.8367631,-73.8610922,Bronx,shoes,Footaction,POINT (-73.8610922 40.8367631)
167,node,5905555180,40.6227253,-73.7225396,Cedarhurst,shoes,A Shoe Inn,POINT (-73.7225396 40.6227253)
168,node,5905571146,40.7182729,-74.0026265,,shoes,Infinity Shoes,POINT (-74.00262650000001 40.7182729)
169,node,5905578939,40.7205709,-74.0006766,,shoes,Saga Footwear,POINT (-74.00067660000001 40.7205709)
170,node,5923184265,40.7253045,-73.998881,,shoes,Meermin,POINT (-73.998881 40.7253045)
171,node,5947754037,40.6214469,-73.72384,,shoes,Zohar,POINT (-73.72384 40.6214469)
172,node,5973681220,40.6678659,-73.9876006,,shoes,Windsor's World of Shoes,POINT (-73.98760059999999 40.6678659)
173,node,5982276686,40.7575514,-73.9776796,,shoes,Aldo,POINT (-73.9776796 40.7575514)
174,node,6001514291,40.8887564,-74.0405594,,shoes,Kates Bros.,POINT (-74.04055940000001 40.8887564)
175,node,6013233327,40.7238495,-73.9961266,,shoes,DNA Footware,POINT (-73.9961266 40.7238495)
176,way,204876214,40.7786931,-73.9781161,,shoes,Footlights Shoes,POINT (-73.97811609999999 40.7786931)
177,way,241822308,40.7275942,-73.9856159,New York,shoes,Foot Gear Plus,POINT (-73.9856159 40.7275942)
178,way,245352068,40.7206086,-74.0445323,Jersey City,shoes,Fabco Shoes,POINT (-74.0445323 40.7206086)
