,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
271,node,3262342854,40.7495133,-73.9865888,New York,clothes,Uniqlo,POINT (-73.98658880000001 40.7495133),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
278,node,3451116505,40.7511003,-73.9916213,,clothes,Kmart,POINT (-73.99162130000001 40.7511003),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
279,node,3451142754,40.7508753,-73.9909693,,clothes,Modell's,POINT (-73.9909693 40.7508753),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
280,node,3451159777,40.7502476,-73.9893078,,clothes,Sephora,POINT (-73.98930780000001 40.7502476),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
281,node,3451203779,40.7502851,-73.9871588,,clothes,Desigual,POINT (-73.9871588 40.7502851),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
295,node,3927137573,40.7497436,-73.9881912,,clothes,H & M,POINT (-73.9881912 40.7497436),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
296,node,3927150547,40.7495763,-73.9867312,,clothes,Zara,POINT (-73.98673119999999 40.7495763),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
297,node,3927150548,40.7497898,-73.9872059,,clothes,H & M,POINT (-73.98720590000001 40.7497898),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
298,node,3927150552,40.7496516,-73.9869297,,clothes,Levi's,POINT (-73.9869297 40.7496516),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
303,node,4012847857,40.7440621,-73.9922118,,clothes,David's Bridal,POINT (-73.99221180000001 40.7440621),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
304,node,4012847860,40.7447407,-73.9916956,New York,clothes,capelli new york,POINT (-73.9916956 40.7447407),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
324,node,4254651771,40.744427,-73.9921981,New York,clothes,Goodwill Industries Store & Donation Center,POINT (-73.9921981 40.744427),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
408,node,4699192689,40.7493309,-73.9861281,,clothes,SuperDry,POINT (-73.9861281 40.7493309),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
416,node,4768380531,40.7480595,-73.9924109,,clothes,American Apparel,POINT (-73.9924109 40.7480595),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
489,node,5190396659,40.7494162,-73.9874922,New York,clothes,Forever  21,POINT (-73.98749220000001 40.7494162),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
520,node,5288175921,40.7483328,-73.9849564,,clothes,Juicy Couture,POINT (-73.9849564 40.7483328),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
641,node,5599511725,40.7478596,-73.9894889,,clothes,Nordstrom Rack,POINT (-73.9894889 40.7478596),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
694,node,5764225165,40.7450562,-73.9923336,,clothes,Buffalo Exchange,POINT (-73.99233359999999 40.7450562),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
720,node,5804789754,40.7499584,-73.9886863,,clothes,Target,POINT (-73.9886863 40.7499584),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
734,node,5849811268,40.745132,-73.9872129,,clothes,260 Sample Sale,POINT (-73.9872129 40.745132),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
743,node,5889475671,40.7491914,-73.9859247,,clothes,Banana Republic Factory,POINT (-73.9859247 40.7491914),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
744,node,5889476754,40.7490968,-73.9857462,,clothes,Zumiez,POINT (-73.98574619999999 40.7490968),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
745,node,5889477215,40.7488021,-73.9850332,,clothes,Bebe,POINT (-73.9850332 40.7488021),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
