,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name
243,node,1913191317,40.7987385,-73.9673316,,restaurant,Buca Pizzeria
244,node,1915398676,40.722345,-73.9873614,New York,restaurant,Katz's Delicatessen
245,node,1916532788,40.7562465,-73.9936447,New York,restaurant,Mercato
246,node,1928277664,40.8043173,-74.2374237,,restaurant,
247,node,1932725314,40.6721168,-73.9572639,,restaurant,Barboncino
248,node,1932911830,40.6737824,-73.9830766,,restaurant,Benchmark
249,node,1934502370,40.7146177,-74.015376,,restaurant,Blue Smoke
250,node,1935662285,40.7432153,-73.9797077,,restaurant,Banc
251,node,1942314293,40.5646922,-73.911575,,restaurant,The Bay House
252,node,1949918907,40.8495745,-73.9707647,,restaurant,Boston Market
253,node,1949982645,40.6868226,-73.9548103,,restaurant,Do or Dine
254,node,1975910742,40.7197428,-73.9625979,Brooklyn,restaurant,Fabbrica
255,node,1975910743,40.7188464,-73.9635537,Brooklyn,restaurant,Mole
256,node,1977354182,40.7627443,-73.9878936,,restaurant,Bann Restaurant
257,node,1979669271,40.7142048,-73.9602838,Brooklyn,restaurant,Dokébi
258,node,1979669273,40.7107181,-73.9582427,,restaurant,Kabob Shack
259,node,1993216326,40.783395,-73.9784022,,restaurant,Nice Matin
260,node,1999231232,40.7110912,-73.9512978,,restaurant,Cafe Argentino
261,node,1999231233,40.7113992,-73.9510101,,restaurant,Santos Anne
262,node,2011747048,40.7070572,-73.9543715,,restaurant,Bar Velo
263,node,2011781571,40.7996549,-73.9385655,New York,restaurant,Polash
264,node,2011781604,40.7377801,-73.955195,,restaurant,Ashbox Cafe
265,node,2011783803,40.7108859,-73.9538004,,restaurant,Lighthouse
266,node,2015863190,40.6866702,-73.9940071,,restaurant,Layla Jones
267,node,2017266260,40.760139,-73.9073114,,restaurant,Mama Carmela's Pizza
268,node,2017268082,40.7601756,-73.907416,,restaurant,King's Wok
269,node,2017271308,40.7608858,-73.9089094,,restaurant,Halal Chinese Food
270,node,2017643713,40.7188705,-73.9567925,Brooklyn,restaurant,Vinnies Pizzeria
271,node,2017702301,40.7359454,-73.8758225,Elmhurst,restaurant,Georgia Diner
272,node,2017705415,40.7412522,-73.8812879,,restaurant,
