,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
108,way,34966692,40.6095465,-74.1197781,,,"SI go-karts, mini-golf, roller hockey, batting cages",POINT (-74.1197781 40.6095465),137,10314,0,Staten Island,85430.0,473985727.130054,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
112,way,35821430,40.6039045,-74.150131,,,,POINT (-74.150131 40.6039045),137,10314,0,Staten Island,85430.0,473985727.130054,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
110,way,35086122,40.5597255,-74.1474227,,,Great Kills Little League Inc.,POINT (-74.14742270000001 40.5597255),153,10308,0,Staten Island,27612.0,62751041.8151495,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
111,way,35086128,40.5596244,-74.1465257,,,Great Kills Swim Club,POINT (-74.1465257 40.5596244),153,10308,0,Staten Island,27612.0,62751041.8151495,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
113,way,40535388,40.5534064,-74.1986847,,,,POINT (-74.1986847 40.5534064),155,10312,0,Staten Island,58506.0,169087432.907114,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
135,way,248360884,40.542542,-74.1627399,,,YMCA South Shore Branch,POINT (-74.16273990000001 40.542542),155,10312,0,Staten Island,58506.0,169087432.907114,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
114,way,44947880,40.8126373,-73.8455042,,,YMCA,POINT (-73.84550419999999 40.8126373),40,10473,0,Bronx,58284.0,59522354.5402765,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
165,way,282077685,40.8161342,-73.8558738,,,,POINT (-73.8558738 40.8161342),40,10473,0,Bronx,58284.0,59522354.5402765,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
115,way,58460758,40.5205158,-74.2369081,,,Fastbreak Basketball Center,POINT (-74.23690809999999 40.5205158),157,10307,0,Staten Island,14096.0,46028382.6297602,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
116,way,59379119,40.5485247,-74.222809,,,Staten Island Paintball Center,POINT (-74.222809 40.5485247),156,10309,0,Staten Island,33114.0,215835793.517094,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
117,way,118527506,40.8262366,-73.9568377,,,Basketball,POINT (-73.95683769999999 40.8262366),36,10031,0,New York,57010.0,16902152.3659099,NY,New York,36,061,http://www.usps.com/,0.0,0.0
118,way,118527530,40.8257583,-73.955808,,,Skating Rink,POINT (-73.955808 40.8257583),36,10031,0,New York,57010.0,16902152.3659099,NY,New York,36,061,http://www.usps.com/,0.0,0.0
122,way,224023183,40.8128349,-73.9393318,,,Hansborough Recreation Center,POINT (-73.93933180000001 40.8128349),45,10037,0,New York,16931.0,7188980.95342821,NY,New York,36,061,http://www.usps.com/,0.0,0.0
123,way,224709635,40.576121,-73.9738816,,,,POINT (-73.9738816 40.576121),152,11224,0,Brooklyn,49600.0,46701983.7536391,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
136,way,248474683,40.572968,-73.9858947,,,Abe Stark Skating Arena,POINT (-73.9858947 40.572968),152,11224,0,Brooklyn,49600.0,46701983.7536391,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
126,way,234727505,40.5894232,-73.8016222,,swimming_pool,Rockaways YMCA,POINT (-73.8016222 40.5894232),147,11692,0,Arverne,18018.0,23992395.3811918,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
