index_left,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry
114,node,2523439964,40.7748263,-73.9819035,New York,clothes,GAP,POINT (-73.9819035 40.7748263)
115,node,2523787357,40.6891698,-73.9928024,,clothes,Splendid,POINT (-73.9928024 40.6891698)
116,node,2523787365,40.6885328,-73.9931239,Brooklyn,clothes,Rag & Bone,POINT (-73.9931239 40.6885328)
117,node,2527401773,40.8858469,-74.2122133,,clothes,Kohl's,POINT (-74.2122133 40.8858469)
118,node,2539225249,40.7864235,-73.9777076,New York,clothes,Chico's,POINT (-73.9777076 40.7864235)
119,node,2545250058,40.5979937,-74.0826104,Staten Island,clothes,Z & K Police Equipment & Uniforms Inc,POINT (-74.08261039999999 40.5979937)
120,node,2546985617,40.7298359,-73.992872,,clothes,Lids,POINT (-73.99287200000001 40.7298359)
121,node,2547036407,40.7265924,-73.9956041,,clothes,KITH NYC,POINT (-73.99560409999999 40.7265924)
122,node,2547149208,40.7322489,-73.9914862,,clothes,the Bag House,POINT (-73.9914862 40.7322489)
123,node,2547218174,40.7302176,-73.9831773,,clothes,No Relation Vintage,POINT (-73.98317729999999 40.7302176)
124,node,2547223573,40.7252534,-74.0003358,,clothes,Barbour,POINT (-74.0003358 40.7252534)
125,node,2547223609,40.7239419,-74.0008746,,clothes,Mulberry,POINT (-74.0008746 40.7239419)
126,node,2547223663,40.7237412,-74.0024413,,clothes,RRL,POINT (-74.0024413 40.7237412)
127,node,2547224088,40.7233418,-74.0027829,,clothes,Badichi,POINT (-74.0027829 40.7233418)
128,node,2547241541,40.7221932,-73.9992705,,clothes,The north face,POINT (-73.99927049999999 40.7221932)
129,node,2547241668,40.7224579,-73.9990986,,clothes,Allsaints Spitalfields,POINT (-73.9990986 40.7224579)
130,node,2547241734,40.7226575,-73.9977783,,clothes,aerie,POINT (-73.99777829999999 40.7226575)
131,node,2547241745,40.7227912,-73.9980837,,clothes,MUJI at MoMA,POINT (-73.9980837 40.7227912)
132,node,2549896908,40.6883507,-73.9934137,,clothes,Picnic,POINT (-73.9934137 40.6883507)
133,node,2550059710,40.6809947,-73.9775234,,clothes,Eleven Consignment Boutique,POINT (-73.9775234 40.6809947)
134,node,2550112109,40.7099853,-73.7943599,Jamaica,clothes,Chahat Couture,POINT (-73.7943599 40.7099853)
135,node,2550112135,40.7112492,-73.7910634,Jamaica,clothes,Disha Collections Inc.,POINT (-73.7910634 40.7112492)
136,node,2550112963,40.7772818,-73.9791591,New York,clothes,Olive & Bettes,POINT (-73.9791591 40.7772818)
137,node,2550112964,40.7768526,-73.978968,New York,clothes,Paige Denim,POINT (-73.97896799999999 40.7768526)
138,node,2550112966,40.7750847,-73.9807486,New York,clothes,Rag & Bone,POINT (-73.9807486 40.7750847)
139,node,2550112968,40.7754914,-73.979928,,clothes,Theory,POINT (-73.979928 40.7754914)
140,node,2550585167,40.6674456,-73.9881853,,clothes,Factory Outlet,POINT (-73.9881853 40.6674456)
141,node,2550589935,40.6669587,-73.9879436,,clothes,Mandee,POINT (-73.98794359999999 40.6669587)
142,node,2552858618,40.5766271,-73.9654324,,clothes,Sunduchok,POINT (-73.9654324 40.5766271)
143,node,2553515513,40.7129672,-73.7818438,Jamaica,clothes,Party World,POINT (-73.7818438 40.7129672)
144,node,2553515522,40.7128508,-73.7823463,Jamaica,clothes,Maya's Services,POINT (-73.7823463 40.7128508)
145,node,2553978256,40.7625328,-73.9734538,,clothes,Niketown,POINT (-73.9734538 40.7625328)
146,node,2555137414,40.7361031,-73.9912209,,clothes,AEO & Aerie Store,POINT (-73.9912209 40.7361031)
147,node,2555210839,40.7141409,-73.9801825,New York,clothes,fdcincshop,POINT (-73.9801825 40.7141409)
148,node,2562069627,40.660331,-73.980014,,clothes,Black Bear,POINT (-73.980014 40.660331)
149,node,2563025342,40.6007081,-73.9412248,Brooklyn,clothes,Mandee,POINT (-73.9412248 40.6007081)
150,node,2563152868,40.6181155,-73.9579433,Brooklyn,clothes,The Fitting Room,POINT (-73.9579433 40.6181155)
151,node,2563512927,40.6462183,-73.9582701,,clothes,Gap Outlet,POINT (-73.95827009999999 40.6462183)
152,node,2568849022,40.6774292,-73.9728758,,clothes,GITI Fasion,POINT (-73.9728758 40.6774292)
153,node,2569492700,40.7520287,-73.9901051,New York,clothes,Lee Jean Corp,POINT (-73.99010509999999 40.7520287)
154,node,2572411283,40.7232113,-73.9994594,,clothes,Ben Sherman,POINT (-73.99945940000001 40.7232113)
155,node,2573952303,40.7962468,-73.9710051,New York,clothes,Variazioni,POINT (-73.9710051 40.7962468)
156,node,2592264890,40.7407108,-74.0015495,New York,clothes,Mardana,POINT (-74.0015495 40.7407108)
157,node,2601850441,40.7418051,-74.0049865,New York City,clothes,Anthropologie,POINT (-74.0049865 40.7418051)
158,node,2610440244,40.7556334,-73.9869331,,clothes,Loft,POINT (-73.9869331 40.7556334)
159,node,2611479030,40.730985,-73.9830637,,clothes,Gabay's,POINT (-73.9830637 40.730985)
160,node,2611782750,40.7602642,-73.9798528,,clothes,Brooks Brothers,POINT (-73.9798528 40.7602642)
161,node,2613887631,40.7588653,-73.9854906,New York,clothes,American Eagle Outfitters & Aerie,POINT (-73.98549060000001 40.7588653)
162,node,2620513869,40.7791885,-73.9553419,,clothes,H&M,POINT (-73.95534189999999 40.7791885)
163,node,2623014547,40.7692754,-73.9612325,,clothes,Anthropologie,POINT (-73.96123249999999 40.7692754)
164,node,2632291772,40.7081878,-73.8690473,queens,clothes,White House Black Market,POINT (-73.86904730000001 40.7081878)
165,node,2662232019,40.8002345,-73.9676937,,clothes,Steps,POINT (-73.9676937 40.8002345)
166,node,2689416402,40.757897,-73.9779383,,clothes,Lacoste,POINT (-73.97793830000001 40.757897)
167,node,2705025437,40.737117,-73.9967401,,clothes,Urban Outfitters,POINT (-73.9967401 40.737117)
168,node,2705028934,40.72076,-73.8460175,Forest Hills,clothes,Loft,POINT (-73.8460175 40.72076)
169,node,2705030229,40.6746154,-73.9566893,Brooklyn,clothes,Calabar Imports,POINT (-73.95668929999999 40.6746154)
170,node,2705030253,40.6738392,-73.9569786,Brooklyn,clothes,Stork,POINT (-73.9569786 40.6738392)
171,node,2710082445,40.7692513,-73.9826487,New York,clothes,American Apparel,POINT (-73.9826487 40.7692513)
172,node,2711422075,40.749007,-73.9894016,,clothes,Aeropostale,POINT (-73.98940159999999 40.749007)
173,node,2711422079,40.7487516,-73.9888481,,clothes,Afaze,POINT (-73.9888481 40.7487516)
174,node,2711422086,40.7489117,-73.9891777,,clothes,City Streets,POINT (-73.9891777 40.7489117)
175,node,2711422089,40.7492014,-73.9889236,,clothes,Express,POINT (-73.98892360000001 40.7492014)
176,node,2711422104,40.7493481,-73.9892431,,clothes,Lids,POINT (-73.9892431 40.7493481)
177,node,2711422106,40.749127,-73.989701,,clothes,P.S. by Aero,POINT (-73.989701 40.749127)
178,node,2711422116,40.7494454,-73.9894897,,clothes,Strawberry,POINT (-73.98948969999999 40.7494454)
179,node,2711422119,40.7494835,-73.9896784,,clothes,Strawberry,POINT (-73.9896784 40.7494835)
180,node,2711422122,40.7493882,-73.9893538,,clothes,Top Gun Leather,POINT (-73.9893538 40.7493882)
181,node,2711422128,40.749392,-73.9898746,,clothes,Victoria's Secret,POINT (-73.98987459999999 40.749392)
182,node,2714977982,40.752067,-73.9820787,New York,clothes,Lord & Taylor,POINT (-73.9820787 40.752067)
183,node,2717543451,40.7570579,-73.9780558,New York,clothes,H&M,POINT (-73.97805580000001 40.7570579)
184,node,2717543476,40.7595169,-73.9798221,,clothes,Gallerie Saint Gui,POINT (-73.97982210000001 40.7595169)
185,node,2718017517,40.7615638,-73.9688483,New York,clothes,Aerie,POINT (-73.9688483 40.7615638)
186,node,2718050581,40.7634609,-73.9669643,New York,clothes,La Boutique Designer resale,POINT (-73.9669643 40.7634609)
187,node,2723918792,40.7714825,-73.9654692,New York,clothes,Ralph Lauren,POINT (-73.9654692 40.7714825)
188,node,2744875779,40.7722154,-73.9818926,,clothes,lululemon athletica,POINT (-73.98189259999999 40.7722154)
189,node,2744875794,40.7727209,-73.9819082,,clothes,Brooks Brothers,POINT (-73.98190820000001 40.7727209)
190,node,2744965206,40.77456,-73.981102,,clothes,Burberry Brit,POINT (-73.98110200000001 40.77456)
191,node,2767432738,40.8103269,-73.952104,,clothes,Old Navy,POINT (-73.95210400000001 40.8103269)
192,node,2774949526,40.75822,-73.9851207,New York,clothes,Forever 21,POINT (-73.9851207 40.75822)
193,node,2782255478,40.7097619,-73.9622241,,clothes,Brooklyn Industries,POINT (-73.9622241 40.7097619)
194,node,2782255516,40.7084142,-73.9574901,,clothes,,POINT (-73.9574901 40.7084142)
195,node,2791376506,40.8944005,-74.2373503,,clothes,Casual Male XL,POINT (-74.2373503 40.8944005)
196,node,2823604796,40.838568,-74.1555824,,clothes,Coldwater Creek,POINT (-74.1555824 40.838568)
